sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
34,True,,1784156442.1999927,17693031000000,17693031000000,17693875000000,17693453000000,844.0,2865.18,2865.18,17693.875,17693.875,,14828.320000000002,True,25,0,0,0,False,0,1007,1319,2865180,2865182,2865180,0,-0.008707838,355775,516775,11.67293,-0.982108,-1.292511,-112.5265,59.32617,-31.04492,973.7012,0.85375,-15.0425,-4.4025,26,-60,-59,47.22222,True,19,3,37.24886633,-80.41802183,10,1.23,,,,1702006,5046,979
35,True,,1784156443.128714,17693953000000,17693953000000,17694687000000,17694320000000,734.0,2865.995,2865.995,17694.687,17694.687,,14828.320000000002,True,25,0,0,0,False,0,1007,1320,2865995,2865996,2865995,-0.046338998,-0.046331863,355782,517178,11.67293,-0.695717,-2.466476,-120.0337,67.13867,-22.25586,973.7012,-1.08375,-5.4175,-12.84,30,-52,-61,47.22222,True,108,3,37.24886633,-80.41802183,10,1.23,,,,1702386,5047,980
36,True,,1784156443.8960984,17694718000000,17694718000000,17695390000000,17695054000000,672.0,2866.757,2866.757,17695.39,17695.39,,14828.320000000002,True,25,0,0,0,False,0,1007,1321,2866757,2866758,2866757,-0.111934775,-0.111818315,356048,517609,11.67293,-0.508197,-3.45067,-123.4788,79.83398,-51.06445,853.584,-1.95875,-6.4175,-4.7775,29,-51,-61,47.22222,True,92,3,37.248867,-80.41802417,10,1.23,,,,1702782,5049,980
37,True,,1784156445.1919875,17696015000000,17696015000000,17696734000000,17696374500000,719.0,2868.032,2868.032,17696.734,17696.734,,14828.320000000002,True,25,0,0,0,False,0,1007,1322,2868032,2868033,2868032,-0.12896805,-0.150462725,357080,518725,11.67293,-1.327032,-1.931924,-119.5862,17.82227,-13.4668,1096.26,-1.45875,-6.73,-2.6525,23,-48,-55,46.66667,True,393,3,37.248868,-80.41801817,10,1.23,,,,1703594,5051,980
38,True,,1784156446.2180102,17697046000000,17697046000000,17697765000000,17697405500000,719.0,2869.057,2869.057,17697.765,17697.765,,14828.320000000002,True,25,0,0,0,False,0,1007,1323,2869057,2869058,2869057,-0.150462725,-0.12896805,358013,519678,11.67293,-0.129918,1.911277,-111.6105,-73.48633,65.63477,974.6777,-3.52125,-2.48,-1.465,24,-58,-45,47.22222,True,224,3,37.248869,-80.41801767,9,1.36,,,,1704134,5053,980
39,True,,1784156447.1276228,17697953000000,17697953000000,17698687000000,17698320000000,734.0,2869.978,2869.978,17698.687,17698.687,,14828.320000000002,True,25,0,0,0,False,0,1007,1324,2869978,2869979,2869978,-0.150462725,-0.12896805,358860,520547,11.67293,0.718217,2.300935,-114.2943,-88.62305,17.29492,867.7441,-4.77125,-9.7925,1.3475,19,-44,-42,47.22222,True,119,3,37.24887217,-80.41801833,9,1.36,,,,1704609,5055,980
40,True,,1784156448.1467855,17698968000000,17698968000000,17699703000000,17699335500000,735.0,2870.989,2870.989,17699.703,17699.703,,14828.324499999999,True,25,0,0,0,False,0,1007,1325,2870989,2870990,2870989,-0.107473375,-0.12896805,359780,521489,11.67293,-1.046291,1.094282,-115.0612,-119.873,-23.23242,1292.549,4.60375,-2.855,-5.965,22,-44,-44,47.22222,True,208,3,37.24887933,-80.4180095,8,1.46,,,,1705209,5057,981
41,True,,1784156448.914628,17699750000000,17699750000000,17700406000000,17700078000000,656.0,2871.775,2871.775,17700.406,17700.406,,14828.320000000002,True,25,0,0,0,False,0,1007,1326,2871775,2871777,2871775,0,-0.020504596,360080,521786,11.67293,-1.461167,0.695083,-117.584,15.86914,-8.095703,941.9629,-0.58375,-1.5425,-4.9025,22,-44,-37,47.22222,True,127,3,37.24887933,-80.41800383,8,1.46,,,,1705626,5059,982
42,True,,1784156450.220822,17701046000000,17701046000000,17701750000000,17701398000000,704.0,2873.063,2873.063,17701.75,17701.75,,14828.320000000002,True,25,0,0,0,False,0,1007,1327,2873063,2873064,2873063,0,-0.064613252,360080,521981,11.67293,-1.238964,-0.690135,-122.0306,14.89258,-21.76758,982.9785,1.22875,-1.855,-16.715,25,-43,-37,47.22222,True,465,3,37.24887867,-80.418006,9,1.34,,,,1706343,5061,982
43,True,,1784156451.1225498,17701953000000,17701953000000,17702671000000,17702312000000,718.0,2873.976,2873.976,17702.671,17702.671,,14828.320000000002,True,25,0,0,0,False,0,1007,1328,2873976,2873977,2873976,0,-0.04298935,360071,522396,11.67293,0.465737,-1.166642,-127.5869,14.4043,-29.58008,974.6777,0.66625,1.5825,-12.7775,25,-39,-37,47.22222,True,110,3,37.24887917,-80.41800967,9,1.34,,,,1706781,5063,983
