sequence,service,family,horizon_s,pos_tol_m,heading_tol_deg,aoi_limit_s,rate_hz,interval_s,delay_ms,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,failure_duration_s,max_failure_episode_s,mean_aoi_s,max_aoi_s,calibration_coverage,calibration_physical_satisfaction,calibration_freshness_satisfaction,calibration_joint_satisfaction,speed_mean,speed_p95,yaw_abs_mean,yaw_abs_p95,accel_abs_p95,turn_fraction,qualified
parking02,local_10s,local,10.0,0.5,10.0,1.5,10.0,0.1,200,1.0,0.8959925493740926,1.0,0.8959925493740926,126.56666666666668,2.733333333333334,0.240003287043169,0.2999999999883584,0.985,0.6074450084602369,1.0,0.6074450084602369,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_1s,local,1.0,0.1,2.0,0.6,1.0,1.0,0,1.0,0.7153383908421024,0.600048943633249,0.49381406857546833,620.5333333333334,0.9,0.4499632922692425,0.8999999999941792,1.0,0.6310344827586207,0.6,0.4413793103448276,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,0
parking02,local_1s,local,1.0,0.1,2.0,0.6,1.0,1.0,25,1.0,0.6625064578404981,0.5000407863610409,0.3938059113032602,743.1333333333333,2.9000000000000004,0.5499714495414506,1.0,0.996551724137931,0.5778546712802768,0.5017301038062284,0.35640138408304495,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,0
parking02,local_1s,local,1.0,0.1,2.0,0.6,1.0,1.0,50,1.0,0.6625064578404981,0.5000407863610409,0.3938059113032602,743.1333333333333,2.9000000000000004,0.5499714495414506,1.0,0.996551724137931,0.5778546712802768,0.5017301038062284,0.35640138408304495,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,0
parking02,local_1s,local,1.0,0.1,2.0,0.6,1.0,1.0,100,1.0,0.6625064578404981,0.5000407863610409,0.3938059113032602,743.1333333333333,2.9000000000000004,0.5499714495414506,1.0,0.996551724137931,0.5778546712802768,0.5017301038062284,0.35640138408304495,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,0
parking02,local_1s,local,1.0,0.1,2.0,0.6,1.0,1.0,200,1.0,0.5647823367865786,0.3000244718166245,0.21064795932240257,967.6666666666666,7.7,0.749987764085867,1.1999999999825377,0.9896551724137931,0.4819976771196283,0.3031358885017421,0.20092915214866428,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,0
parking02,local_1s,local,1.0,0.1,2.0,0.6,2.0,0.5,0,1.0,0.8675802811539821,1.0,0.8675802811539821,162.33333333333337,0.4000000000000001,0.1999836854497629,0.3999999999941792,1.0,0.7540229885057471,1.0,0.7540229885057471,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_1s,local,1.0,0.1,2.0,0.6,2.0,0.5,25,1.0,0.7980531310329826,1.0,0.7980531310329826,247.5666666666667,1.3999999999999997,0.299991842721971,0.5,0.996551724137931,0.6816608996539792,1.0,0.6816608996539792,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,0
parking02,local_1s,local,1.0,0.1,2.0,0.6,2.0,0.5,50,1.0,0.7980531310329826,1.0,0.7980531310329826,247.5666666666667,1.3999999999999997,0.299991842721971,0.5,0.996551724137931,0.6816608996539792,1.0,0.6816608996539792,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,0
parking02,local_1s,local,1.0,0.1,2.0,0.6,2.0,0.5,100,1.0,0.7980531310329826,1.0,0.7980531310329826,247.5666666666667,1.3999999999999997,0.299991842721971,0.5,0.996551724137931,0.6816608996539792,1.0,0.6816608996539792,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,0
