trial,policy,requests,requests_per_s,response_bytes_per_s,p95_delivery_age_s,repeated_source_fraction,rate_switches,service_id,windows,pass,fail,unobservable,observable_fraction,satisfaction_given_observable
4,contract-aware,139,1.527220787782236,949.2940724056488,1.3684290523528944,0.06474820143884892,1,local_1s_tight,139,2,136,1,0.9928057553956835,0.014492753623188406
4,contract-aware,139,1.527220787782236,949.2940724056488,1.3684290523528944,0.06474820143884892,1,local_5s_moderate,139,11,119,9,0.935251798561151,0.08461538461538462
4,contract-aware,139,1.527220787782236,949.2940724056488,1.3684290523528944,0.06474820143884892,1,local_10s_preview,139,39,85,15,0.8920863309352518,0.31451612903225806
4,contract-aware,139,1.527220787782236,949.2940724056488,1.3684290523528944,0.06474820143884892,1,global_state_tracking,139,33,106,0,1.0,0.23741007194244604
5,static-low,139,1.53480925302269,953.6907193728256,1.2612326774597022,0.05755395683453238,0,local_1s_tight,139,1,137,1,0.9928057553956835,0.007246376811594203
5,static-low,139,1.53480925302269,953.6907193728256,1.2612326774597022,0.05755395683453238,0,local_5s_moderate,139,5,125,9,0.935251798561151,0.038461538461538464
5,static-low,139,1.53480925302269,953.6907193728256,1.2612326774597022,0.05755395683453238,0,local_10s_preview,139,19,104,16,0.8848920863309353,0.15447154471544716
5,static-low,139,1.53480925302269,953.6907193728256,1.2612326774597022,0.05755395683453238,0,global_state_tracking,139,22,117,0,1.0,0.15827338129496402
5,static-high,139,1.53480925302269,953.6907193728256,1.2612326774597022,0.05755395683453238,0,local_1s_tight,139,1,137,1,0.9928057553956835,0.007246376811594203
5,static-high,139,1.53480925302269,953.6907193728256,1.2612326774597022,0.05755395683453238,0,local_5s_moderate,139,5,125,9,0.935251798561151,0.038461538461538464
5,static-high,139,1.53480925302269,953.6907193728256,1.2612326774597022,0.05755395683453238,0,local_10s_preview,139,19,104,16,0.8848920863309353,0.15447154471544716
5,static-high,139,1.53480925302269,953.6907193728256,1.2612326774597022,0.05755395683453238,0,global_state_tracking,139,22,117,0,1.0,0.15827338129496402
5,aoi-only,139,1.53480925302269,953.6907193728256,1.2612326774597022,0.05755395683453238,1,local_1s_tight,139,1,137,1,0.9928057553956835,0.007246376811594203
5,aoi-only,139,1.53480925302269,953.6907193728256,1.2612326774597022,0.05755395683453238,1,local_5s_moderate,139,5,125,9,0.935251798561151,0.038461538461538464
5,aoi-only,139,1.53480925302269,953.6907193728256,1.2612326774597022,0.05755395683453238,1,local_10s_preview,139,19,104,16,0.8848920863309353,0.15447154471544716
5,aoi-only,139,1.53480925302269,953.6907193728256,1.2612326774597022,0.05755395683453238,1,global_state_tracking,139,22,117,0,1.0,0.15827338129496402
5,contract-aware,139,1.53480925302269,953.6907193728256,1.2612326774597022,0.05755395683453238,1,local_1s_tight,139,1,137,1,0.9928057553956835,0.007246376811594203
5,contract-aware,139,1.53480925302269,953.6907193728256,1.2612326774597022,0.05755395683453238,1,local_5s_moderate,139,5,125,9,0.935251798561151,0.038461538461538464
5,contract-aware,139,1.53480925302269,953.6907193728256,1.2612326774597022,0.05755395683453238,1,local_10s_preview,139,19,104,16,0.8848920863309353,0.15447154471544716
5,contract-aware,139,1.53480925302269,953.6907193728256,1.2612326774597022,0.05755395683453238,1,global_state_tracking,139,22,117,0,1.0,0.15827338129496402
