============================================================================================================
ORIGINAL DUAL-GRU — 10-FOLD × 3-SEED DETERMINISTIC REPRODUCIBILITY STUDY
============================================================================================================
Device: cuda
GPU: Tesla T4
Git commit: 9bd1f06a415bcc47e416797226dade06094b8216
Base seeds: [42, 1042, 2042]
Sequences: building00, building01, building02, parking00, parking01, parking02, playground00, street00, street01, street02
Strict deterministic algorithms: True
No V2/V3/V3.1/V3.2 model is trained in this notebook.

Preparing sequences using ORIGINAL LOSO pipeline...
  building00     12009 samples
  building01     13689 samples
  building02     18714 samples
  parking00      11409 samples
  parking01      10599 samples
  parking02      12569 samples
  playground00   13263 samples
  street00       13738 samples
  street01       12483 samples
  street02       13799 samples

Existing completed runs: 0/30

============================================================================================================
RUN 1/30 | replicate=1/3 | test=building00 | base_seed=42 | method_seed=45
VAL  : building01, building02
      dual     epoch=013 train=0.06911 val=0.05343
      dual     epoch=014 train=0.06862 val=0.05198
      dual     epoch=015 train=0.06838 val=0.05389
      dual     epoch=016 train=0.06775 val=0.05171
      dual     epoch=017 train=0.06796 val=0.05085
      dual     epoch=018 train=0.06743 val=0.05111
      dual     epoch=019 train=0.06700 val=0.05187
      dual     epoch=020 train=0.06670 val=0.05311
      dual     epoch=021 train=0.06612 val=0.05009
      dual     epoch=022 train=0.06583 val=0.05195
      dual     epoch=023 train=0.06575 val=0.04971
      dual     epoch=024 train=0.06489 val=0.04931
      dual     epoch=025 train=0.06463 val=0.05103
      dual     epoch=026 train=0.06418 val=0.04837
      dual     epoch=027 train=0.06438 val=0.05128
      dual     epoch=028 train=0.06368 val=0.04782
      dual     epoch=029 train=0.06347 val=0.05044
      dual     epoch=030 train=0.06302 val=0.04740
      dual     epoch=031 train=0.06274 val=0.04796
      dual     epoch=032 train=0.06238 val=0.04680
      dual     epoch=033 train=0.06182 val=0.04565
      dual     epoch=034 train=0.06121 val=0.04512
      dual     epoch=035 train=0.06121 val=0.04737
      dual     epoch=036 train=0.06110 val=0.04654
      dual     epoch=037 train=0.06050 val=0.04418
      dual     epoch=038 train=0.06053 val=0.04425
      dual     epoch=039 train=0.06003 val=0.04554
      dual     epoch=040 train=0.05994 val=0.04499
      dual     epoch=041 train=0.05969 val=0.04481
      dual     epoch=042 train=0.05937 val=0.04603
      dual     epoch=043 train=0.05958 val=0.04528
      dual     epoch=044 train=0.05907 val=0.04516
      dual     epoch=045 train=0.05880 val=0.04440
      dual     epoch=046 train=0.05875 val=0.04549
      dual     epoch=047 train=0.05840 val=0.04450
      dual: early stop at epoch 47; best=0.044180
RESULT parking01 seed#1: ATE=5.347 m | RPE5=0.084 m | RPE10=0.154 m | heading=7.27°

============================================================================================================
RUN 6/30 | replicate=1/3 | test=parking02 | base_seed=42 | method_seed=545
VAL  : playground00, street00
TRAIN: building00, building01, building02, parking00, parking01, street01, street02
============================================================================================================
      dual     epoch=001 train=0.40317 val=0.14629
      dual     epoch=002 train=0.24484 val=0.06383
      dual     epoch=003 train=0.21549 val=0.05510
      dual     epoch=004 train=0.21016 val=0.05310
      dual     epoch=005 train=0.20616 val=0.04864
      dual     epoch=006 train=0.07946 val=0.00856
      dual     epoch=007 train=0.06814 val=0.00874
      dual     epoch=008 train=0.06573 val=0.00884
      dual     epoch=009 train=0.06436 val=0.00702
      dual     epoch=010 train=0.06361 val=0.00686
      dual     epoch=011 train=0.06312 val=0.00583
      dual     epoch=012 train=0.06265 val=0.00782
      dual     epoch=013 train=0.06224 val=0.00764
      dual     epoch=014 train=0.06153 val=0.00687
      dual     epoch=015 train=0.06129 val=0.00653
      dual     epoch=016 train=0.06116 val=0.00650
      dual     epoch=017 train=0.06062 val=0.00604
      dual     epoch=018 train=0.06072 val=0.00656
      dual     epoch=019 train=0.06056 val=0.00552
      dual     epoch=020 train=0.05996 val=0.00573
      dual     epoch=021 train=0.05993 val=0.00584
      dual     epoch=022 train=0.05987 val=0.00735
      dual     epoch=023 train=0.05948 val=0.00726
      dual     epoch=024 train=0.05904 val=0.00539
      dual     epoch=025 train=0.05922 val=0.00524
      dual     epoch=026 train=0.05892 val=0.00813
      dual     epoch=027 train=0.05867 val=0.01135
      dual     epoch=028 train=0.05778 val=0.00677
      dual     epoch=029 train=0.05714 val=0.00815
      dual     epoch=030 train=0.05642 val=0.00550
      dual     epoch=031 train=0.05576 val=0.00769
      dual     epoch=032 train=0.05550 val=0.00627
      dual     epoch=033 train=0.05519 val=0.00474
      dual     epoch=034 train=0.05492 val=0.00501
      dual     epoch=035 train=0.05468 val=0.00510
      dual     epoch=036 train=0.05437 val=0.00403
      dual     epoch=037 train=0.05429 val=0.00514
      dual     epoch=038 train=0.05374 val=0.00469
      dual     epoch=039 train=0.05361 val=0.00559
      dual     epoch=040 train=0.05333 val=0.00431
      dual     epoch=041 train=0.05290 val=0.00414
      dual     epoch=042 train=0.05262 val=0.00558
      dual     epoch=043 train=0.05229 val=0.00357
      dual     epoch=044 train=0.05223 val=0.00379
      dual     epoch=045 train=0.05197 val=0.00497
      dual     epoch=046 train=0.05190 val=0.00458
      dual     epoch=047 train=0.05158 val=0.00425
      dual     epoch=048 train=0.05156 val=0.00471
      dual     epoch=049 train=0.05089 val=0.00432
      dual     epoch=050 train=0.05129 val=0.00691
      dual     epoch=051 train=0.05088 val=0.00424
      dual     epoch=052 train=0.05074 val=0.00379
      dual     epoch=053 train=0.05051 val=0.00655
      dual: early stop at epoch 53; best=0.003568
RESULT parking02 seed#1: ATE=5.463 m | RPE5=0.060 m | RPE10=0.111 m | heading=7.89°

============================================================================================================
RUN 7/30 | replicate=1/3 | test=playground00 | base_seed=42 | method_seed=645
VAL  : street00, street01
TRAIN: building00, building01, building02, parking00, parking01, parking02, street02
============================================================================================================
      dual     epoch=001 train=0.37558 val=0.09013
      dual     epoch=002 train=0.22646 val=0.03320
      dual     epoch=003 train=0.20588 val=0.02515
      dual     epoch=004 train=0.20036 val=0.02008
      dual     epoch=005 train=0.19786 val=0.01447
      dual     epoch=006 train=0.06911 val=-0.02138
      dual     epoch=007 train=0.06050 val=-0.02412
      dual     epoch=008 train=0.05916 val=-0.02453
      dual     epoch=009 train=0.05820 val=-0.02487
      dual     epoch=010 train=0.05708 val=-0.02525
      dual     epoch=011 train=0.05639 val=-0.02630
      dual     epoch=012 train=0.05596 val=-0.02614
      dual     epoch=013 train=0.05553 val=-0.02624
      dual     epoch=014 train=0.05519 val=-0.02548
      dual     epoch=015 train=0.05454 val=-0.02604
      dual     epoch=016 train=0.05424 val=-0.02706
      dual     epoch=017 train=0.05396 val=-0.02745
      dual     epoch=018 train=0.05343 val=-0.02738
      dual     epoch=019 train=0.05292 val=-0.02626
      dual     epoch=020 train=0.05243 val=-0.02760
      dual     epoch=021 train=0.05215 val=-0.02736
      dual     epoch=022 train=0.05170 val=-0.02663
      dual     epoch=023 train=0.05137 val=-0.02723
      dual     epoch=024 train=0.05086 val=-0.02859
      dual     epoch=025 train=0.05040 val=-0.02786
      dual     epoch=026 train=0.05031 val=-0.02897
      dual     epoch=027 train=0.04967 val=-0.02759
      dual     epoch=028 train=0.04900 val=-0.02836
      dual     epoch=029 train=0.04865 val=-0.02939
      dual     epoch=030 train=0.04808 val=-0.03031
      dual     epoch=031 train=0.04743 val=-0.03052
      dual     epoch=032 train=0.04676 val=-0.03017
      dual     epoch=033 train=0.04652 val=-0.02995
      dual     epoch=034 train=0.04600 val=-0.03087
      dual     epoch=035 train=0.04556 val=-0.03074
      dual     epoch=036 train=0.04536 val=-0.03060
      dual     epoch=037 train=0.04463 val=-0.03021
      dual     epoch=038 train=0.04464 val=-0.03098
      dual     epoch=039 train=0.04395 val=-0.03134
      dual     epoch=040 train=0.04343 val=-0.03034
      dual     epoch=041 train=0.04306 val=-0.03127
      dual     epoch=042 train=0.04220 val=-0.03013
      dual     epoch=043 train=0.04172 val=-0.03105
      dual     epoch=044 train=0.04082 val=-0.02966
      dual     epoch=045 train=0.04093 val=-0.03100
      dual     epoch=046 train=0.04013 val=-0.03007
      dual     epoch=047 train=0.03959 val=-0.03048
      dual     epoch=048 train=0.03897 val=-0.03086
      dual     epoch=049 train=0.03828 val=-0.03058
      dual: early stop at epoch 49; best=-0.031345
RESULT playground00 seed#1: ATE=0.241 m | RPE5=0.061 m | RPE10=0.116 m | heading=0.41°

============================================================================================================
RUN 8/30 | replicate=1/3 | test=street00 | base_seed=42 | method_seed=745
VAL  : street01, street02
TRAIN: building00, building01, building02, parking00, parking01, parking02, playground00
============================================================================================================
      dual     epoch=001 train=0.38921 val=0.15562
      dual     epoch=002 train=0.22978 val=0.08035
      dual     epoch=003 train=0.21275 val=0.07347
