sequence,base_seed,x,y,pearson_r_timestamp_descriptive,n_timestamps,note
parking02,42,wheel_imu_yaw_disagreement_abs,Dtheta,-0.03650960735083045,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,1042,Dtheta,Dp,0.7973998183931574,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,1042,Iomega,Dtheta,0.9995012472012944,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,1042,Iomega,signed_heading_error,-0.9994955634272975,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,1042,accel_abs,Dp,0.006336722359156731,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,1042,curvature_abs,Dp,0.09572448738968309,12110,"descriptive only; timestamps are correlated, not independent replicates"
parking02,1042,curvature_abs,Dtheta,0.037552956159816644,12110,"descriptive only; timestamps are correlated, not independent replicates"
parking02,1042,persistent_yaw_residual,Iomega,0.0030835892413312097,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,1042,speed_abs,Dp,0.0695449763605635,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,1042,wheel_imu_yaw_disagreement_abs,Dp,0.01456546250927934,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,1042,wheel_imu_yaw_disagreement_abs,Dtheta,-0.04216761250911831,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,2042,Dtheta,Dp,0.7601923343745942,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,2042,Iomega,Dtheta,0.9978190105301153,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,2042,Iomega,signed_heading_error,-0.9977810382928355,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,2042,accel_abs,Dp,0.012033657435367755,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,2042,curvature_abs,Dp,0.10235179699676718,12110,"descriptive only; timestamps are correlated, not independent replicates"
parking02,2042,curvature_abs,Dtheta,0.04207242607994474,12110,"descriptive only; timestamps are correlated, not independent replicates"
parking02,2042,persistent_yaw_residual,Iomega,0.008472958225865962,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,2042,speed_abs,Dp,0.05633016800441151,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,2042,wheel_imu_yaw_disagreement_abs,Dp,0.024228633924188357,12569,"descriptive only; timestamps are correlated, not independent replicates"
parking02,2042,wheel_imu_yaw_disagreement_abs,Dtheta,-0.0408800818295957,12569,"descriptive only; timestamps are correlated, not independent replicates"
playground00,42,Dtheta,Dp,0.008049716286760832,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,42,Iomega,Dtheta,-0.05149096538573565,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,42,Iomega,signed_heading_error,0.07801977318853781,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,42,accel_abs,Dp,0.10855897306382284,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,42,curvature_abs,Dp,0.00033902040595472344,12540,"descriptive only; timestamps are correlated, not independent replicates"
