sequence,service,classification,rate_hz,delay_ms,age_mean,age_p95,corr_age_increment_heading,corr_age_increment_position,corr_hold_heading_increment_heading,corr_hold_position_increment_position,delivery_gained_pass_fraction,delivery_lost_pass_fraction,held_discrepancy_pass_fraction,held_heading_fail_fraction,held_heading_mean,held_heading_p95,held_position_fail_fraction,held_position_mean,held_position_p95,hold_heading_mean,hold_heading_p95,hold_position_mean,hold_position_p95,ideal_discrepancy_pass_fraction,ideal_heading_fail_fraction,ideal_heading_mean,ideal_heading_p95,ideal_position_fail_fraction,ideal_position_mean,ideal_position_p95,increment_heading_mean,increment_heading_negative_fraction,increment_heading_p95,increment_position_mean,increment_position_negative_fraction,increment_position_p95,persistent_ideal_fail_fraction,samples,configuration
building01,local_10s,,10.0,0,0.0,0.0,,,,,0.0,0.0,0.7914064263676726,0.0,0.43501584127911,1.4279170365516516,0.2085935736323275,0.38000084139412954,1.1088422535334201,0.0,0.0,0.0,0.0,0.7914064263676726,0.0,0.43501584127911,1.4279170365516516,0.2085935736323275,0.38000084139412954,1.1088422535334201,0.0,0.0,0.0,0.0,0.0,0.0,0.2085935736323275,13289.0,fixed_v5_deterministic
building01,local_10s,,5.0,50,0.15000376251034692,0.2,0.25156233056775895,0.1858639779963105,0.5812164319157409,0.10122122174391894,0.014147038904356988,0.09722326736398525,0.7083301979080443,0.0007525020693806908,1.282246780464186,4.254206028285755,0.2913688012642035,0.4498027449178365,1.2352995527779187,0.7258830799254838,3.3733651814208643,0.19164338756632704,0.32346394235396814,0.7914064263676726,0.0,0.43501584127911,1.4279170365516516,0.2085935736323275,0.38000084139412954,1.1088422535334201,0.8472309391850756,0.2794040183610505,3.8158690259472623,0.0698019035237069,0.352923470539544,0.4172227641143313,0.2085935736323275,13289.0,fixed_v5_deterministic
building01,local_10s,,2.0,200,0.4,0.6,0.27476201469842676,0.24533560452398545,0.6249918486610785,0.1604937705180321,0.023327564150801415,0.31936187824516515,0.49537211227330874,0.06245767175859734,3.0749180899601067,10.722737702990074,0.4950711114455565,0.6514355464538607,1.6960306304498678,1.8465303883757875,8.514611524331942,0.5108848251223915,0.8946448672197719,0.7914064263676726,0.0,0.43501584127911,1.4279170365516516,0.2085935736323275,0.38000084139412954,1.1088422535334201,2.6399022486809964,0.18097674768605615,10.292258900558943,0.27143470505973116,0.25998946497102865,1.2359945456977095,0.2085935736323275,13289.0,fixed_v5_deterministic
building01,global,,10.0,0,0.0,0.0,,,,,0.0,0.0,0.02584210919411457,0.10770035103443125,2.3981548675217543,5.928241674744973,0.9719172455000373,2.3906190915639427,4.179620598809581,0.0,0.0,0.0,0.0,0.02584210919411457,0.10770035103443125,2.3981548675217543,5.928241674744973,0.9719172455000373,2.3906190915639427,4.179620598809581,0.0,0.0,0.0,0.0,0.0,0.0,0.9741578908058854,13389.0,fixed_v5_deterministic
building01,global,,5.0,50,0.1500037344088431,0.2,0.10328547600392916,0.031081209283474544,0.38467470521697816,0.09600922551996942,0.019344237807155128,0.003062215251325715,0.042124131749943984,0.14004033161550528,2.6143182404127647,6.45420603777857,0.9501082978564493,2.400486085019698,4.278932940494157,0.7242712635358667,3.372026310636769,0.1917350196655752,0.32326424250477437,0.02584210919411457,0.10770035103443125,2.3981548675217543,5.928241674744973,0.9719172455000373,2.3906190915639427,4.179620598809581,0.21616337289101073,0.4491746956456793,2.5456171102042062,0.009866993455754989,0.4738964821868698,0.24662298381893907,0.9741578908058854,13389.0,fixed_v5_deterministic
building01,global,,2.0,200,0.4,0.6,0.18614188748629293,0.0791837139737861,0.7786450864893738,0.15081502922062515,0.03674658301590858,0.006049742325789828,0.056538949884233324,0.22294420793188438,3.4166506442587967,9.918472422150668,0.921203973411009,2.4427778236351254,4.408402512223974,1.8411154909913208,8.49011257653438,0.5111424180677511,0.8940588678828737,0.02584210919411457,0.10770035103443125,2.3981548675217543,5.928241674744973,0.9719172455000373,2.3906190915639427,4.179620598809581,1.0184957767370424,0.3906938531630443,6.981044428335049,0.0521587320711826,0.43692583464037643,0.6627241385897901,0.9741578908058854,13389.0,fixed_v5_deterministic
building02,local_1s,,10.0,0,0.0,0.0,,,,,0.0,0.0,0.9734296891980004,0.0,0.07521482938178943,0.2413742188987581,0.026570310801999564,0.03481770864564157,0.07155254803769677,0.0,0.0,0.0,0.0,0.9734296891980004,0.0,0.07521482938178943,0.2413742188987581,0.026570310801999564,0.03481770864564157,0.07155254803769677,0.0,0.0,0.0,0.0,0.0,0.0,0.026570310801999564,18404.0,fixed_v5_deterministic
building02,local_1s,,5.0,50,0.15,0.2,0.18089344607101734,0.19442005089624198,0.6078571953132106,0.16365076410029983,0.0011953923060204303,0.08422082156053032,0.8904042599434906,0.08269941317104977,0.5747712148405345,2.5753056026523935,0.040371658335144535,0.040587359826142325,0.09115149152299297,0.44491202161805804,2.4383360123439797,0.2072195608456469,0.34092507315106557,0.9734296891980004,0.0,0.07521482938178943,0.2413742188987581,0.026570310801999564,0.03481770864564157,0.07155254803769677,0.49955638545874503,0.1977830906324712,2.422896285847263,0.0057696511805007435,0.39420778091719194,0.04018962415598041,0.026570310801999564,18404.0,fixed_v5_deterministic
building02,local_1s,,2.0,200,0.4,0.6,0.18751935097097996,0.2504462080829357,0.5937623988829217,0.23931367431974837,0.0009237122364703325,0.27157139752227777,0.702782003912193,0.22419039339274072,1.3375033305900834,5.609721998943652,0.14464246902847208,0.06051533383466141,0.15694561611200133,1.0813311527580942,5.381248260644007,0.5488654957403694,0.9547752928668247,0.9734296891980004,0.0,0.07521482938178943,0.2413742188987581,0.026570310801999564,0.03481770864564157,0.07155254803769677,1.2622885012082943,0.13866550749836992,5.4961831873337275,0.025697625189019826,0.23380786785481417,0.10810071767244928,0.026570310801999564,18404.0,fixed_v5_deterministic
building02,local_5s,,10.0,0,0.0,0.0,,,,,0.0,0.0,0.7221738183402309,0.0,0.19535143626714097,0.5474995930257636,0.27782618165976913,0.16868145079390376,0.3478769419659613,0.0,0.0,0.0,0.0,0.7221738183402309,0.0,0.19535143626714097,0.5474995930257636,0.27782618165976913,0.16868145079390376,0.3478769419659613,0.0,0.0,0.0,0.0,0.0,0.0,0.27782618165976913,18364.0,fixed_v5_deterministic
