context,condition_bin,component,units,n_sequences,n_sequence_condition_rows,support_label,sequence_mean_of_median,sequence_median_of_median,sequence_p95_of_median,sequence_sd_of_median,sequence_mean_of_mean,sequence_median_of_mean,sequence_p95_of_mean,sequence_sd_of_mean,sequence_mean_of_p90,sequence_median_of_p90,sequence_p95_of_p90,sequence_sd_of_p90,sequence_mean_of_p95,sequence_median_of_p95,sequence_p95_of_p95,sequence_sd_of_p95,sequence_mean_of_max,sequence_median_of_max,sequence_p95_of_max,sequence_sd_of_max
curvature,low,Dv_mps,m/s,10,10,descriptive_broad_support,0.019295568086332985,0.01825261444901115,0.025042220808487982,0.003590785509763705,0.02532748481072178,0.024754693814566013,0.03138952073068706,0.004417190570414153,0.05211407839204178,0.05112234660579505,0.06548405586897087,0.009511970848834182,0.06635120203388692,0.06660967039254796,0.0821309808727042,0.01239113182565247,0.4413819257941213,0.4376638733083382,0.6557962355359146,0.16166800020906552
curvature,low,Iomega_abs_deg,deg,10,10,descriptive_broad_support,9.323697053937424,7.979538456888639,15.661430345543272,4.719623377545272,9.222577764596958,8.624271000808584,15.786951021940027,4.47450375070456,16.251920570581635,14.630908472495548,29.814041295103287,8.742635127708889,17.128242039529134,15.145686079761846,31.096556955345367,9.022747519306414,18.385464020758015,16.132366276489172,33.02491349956622,9.312021084094198
curvature,medium,Domega_radps,rad/s,10,10,descriptive_broad_support,0.003661824334752293,0.0035287515141437754,0.005891631270060217,0.001403197963362432,0.00728903647623042,0.007736480075940497,0.00946839854552603,0.0019788258101144395,0.013886173687824275,0.014759284784668081,0.01843416362224762,0.003845081058671334,0.023621192039524053,0.02479108149030547,0.03092745351760334,0.006342879101369622,0.19469837124149,0.18588985316455364,0.26505827580889063,0.05236262667240682
curvature,medium,Dp_m,m,10,10,descriptive_broad_support,1.6539395414041231,0.8882829161770023,5.366920050889654,2.2048589232285165,1.9954982732821942,1.2131219784529164,6.555677667640859,2.6929367302339964,3.9809582687658223,2.154785383052049,13.354904915351598,5.556285726797752,4.5662963132986905,2.5267743524787725,15.579386533986652,6.550643158680131,5.59042742372199,4.169169727420263,17.779538090651624,7.410761399074357
curvature,medium,Dtheta_deg,deg,10,10,descriptive_broad_support,2.1960677864657594,0.4241352389343116,10.136092531332224,4.599929932802991,2.51717338440969,0.6255508455263185,11.225671854885539,5.048204763277143,4.527422014032909,1.5067858282121178,19.39626756125461,8.811435252518391,4.995030042959639,2.073073156880714,19.963693370358072,8.975810985801473,6.523187766437698,3.85589366776235,21.435952075750095,9.209565665687945
curvature,medium,Dv_mps,m/s,10,10,descriptive_broad_support,0.02083221737217775,0.020636224207313068,0.025426790028965692,0.003512089595225154,0.0282821692804144,0.028274999873660847,0.03387830158171345,0.0046857961742148,0.0580747968051582,0.057787136578311506,0.07193138506418711,0.010691608421244827,0.07488429424838003,0.07229284266941238,0.09432929613278244,0.015009241499732418,0.5113574896628659,0.5408524597296491,0.7316410922367746,0.18692343260238412
curvature,medium,Iomega_abs_deg,deg,10,10,descriptive_broad_support,9.196454094939849,7.379665937676128,15.778334379884754,4.838169905194689,9.338943512655465,8.401670552624616,16.41803152695816,4.739021306780699,16.303005450709634,14.646151311545623,29.729852903183694,8.684787030291053,17.093419294792895,15.102419650250539,31.183949510927476,9.081941463786583,18.530785020522885,16.512703736233544,33.000990053026705,9.310563516630316
elapsed_time,early,Domega_radps,rad/s,10,10,descriptive_broad_support,0.004142075526275807,0.004317627756487683,0.00619913978152908,0.0013786296628436937,0.01317402061922869,0.013497069437101265,0.018734227333962055,0.0038915291852529396,0.034183868533776446,0.03409800169368585,0.04748822557507083,0.009943723758768886,0.06540601425028089,0.05443645476674032,0.12109154325211423,0.03142276597237004,0.29432007297873497,0.27705336827784777,0.43364838361740105,0.09686579055878282
elapsed_time,early,Dp_m,m,10,10,descriptive_broad_support,1.0304918769248197,0.5624480226001799,2.8624678143415148,1.1049622192388897,1.1364285230657056,0.8608421319677602,2.97446065572203,1.1534848686070753,1.8693278179922548,1.1637469902802406,5.028082304953069,1.892983627018123,2.1384949453385733,1.2144071261923812,5.828128787448705,2.282334672483308,2.6339809042701665,1.4425065822230947,7.693174549384297,3.0037870591308264
elapsed_time,early,Dtheta_deg,deg,10,10,descriptive_broad_support,1.2934796854191557,0.35177517924467905,5.429423745126371,2.321058780611414,1.2766608599473228,0.4250430481799772,4.8381495074266425,2.0494945885740585,2.290331995105146,0.8591672932782584,7.861347258197995,3.232826340805401,2.5081377778551976,1.1683334873544922,8.040550791748272,3.252979027812327,3.4137299185429497,2.254017753537229,8.687583360555333,3.2160860453859335
elapsed_time,early,Dv_mps,m/s,10,10,descriptive_broad_support,0.020285960495675635,0.019324065952484166,0.02468314762227227,0.003124146407560215,0.02918720093984136,0.029261826369253528,0.03505010993114387,0.00479800632027945,0.05943688320772095,0.05800416696971898,0.07254168363132818,0.010630306157778687,0.07924883435519094,0.07400317139884757,0.0972325102076865,0.01561573450210017,0.5449127879721346,0.5738890327823658,0.8213040685902038,0.21505007077023802
elapsed_time,early,Iomega_abs_deg,deg,10,10,descriptive_broad_support,3.555018210358699,3.4659128409388122,6.393094779759269,1.796301159772001,3.430961888144035,3.199227727234974,5.944603373102191,1.652874647601034,6.037523312907079,4.800196561474364,9.95671720033814,2.8130003262905263,6.3709632211983225,5.047764862295274,10.334988511642072,2.878177967174637,7.484508774417995,6.352936681322548,11.438833183595587,2.9328162432199805
