outer_sequence,sequence,replicate,source,service,family,horizon_s,pos_tol_m,heading_tol_deg,aoi_limit_s,rate_hz,interval_s,delay_ms,speed_mean,speed_p95,yaw_abs_mean,yaw_abs_p95,accel_abs_p95,turn_fraction,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,failure_episodes,failure_duration_s,max_failure_episode_s,mean_position_discrepancy_m,p95_position_discrepancy_m,mean_heading_discrepancy_deg,p95_heading_discrepancy_deg,mean_aoi_s,max_aoi_s,eligible_samples,observable_samples,qualified,calibration_coverage,calibration_physical_satisfaction,calibration_freshness_satisfaction,calibration_joint_satisfaction
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,10.0,0.1,200,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.0,1.0,0.0,1,1110.9,1110.9,1.9917305841059865,2.5641398374523963,1.0558534592593372,3.7513667037842326,0.19999999999999998,0.2,11109,11109,0,0.9933333333333333,0.6140939597315436,1.0,0.6140939597315436
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,5.0,0.2,0,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.0,1.0,0.0,1,1110.9,1110.9,1.9835717785592368,2.640308505831418,0.6286571381044604,2.0044472876164194,0.04999549914483751,0.1,11109,11109,0,1.0,0.7633333333333333,1.0,0.7633333333333333
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,5.0,0.2,25,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.0,1.0,0.0,1,1110.9,1110.9,1.988310317528504,2.5820723587150773,0.8872624926424287,2.950602131895576,0.15000450085516248,0.2,11109,11109,0,0.9966666666666667,0.6387959866220736,1.0,0.6387959866220736
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,5.0,0.2,50,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.0,1.0,0.0,1,1110.9,1110.9,1.988310317528504,2.5820723587150773,0.8872624926424287,2.950602131895576,0.15000450085516248,0.2,11109,11109,0,0.9966666666666667,0.6387959866220736,1.0,0.6387959866220736
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,5.0,0.2,100,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.0,1.0,0.0,1,1110.9,1110.9,1.988310317528504,2.5820723587150773,0.8872624926424287,2.950602131895576,0.15000450085516248,0.2,11109,11109,0,0.9966666666666667,0.6387959866220736,1.0,0.6387959866220736
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,5.0,0.2,200,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.0,1.0,0.0,1,1110.9,1110.9,1.9977949321760573,2.628836349819751,1.2275400607993943,4.6635008570497085,0.2499954991448375,0.3,11109,11109,0,0.9933333333333333,0.587248322147651,1.0,0.587248322147651
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,2.0,0.5,0,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.0019803762714915834,1.0,0.0019803762714915834,23,1108.7,994.4000000000001,1.996253658585186,2.707993037023483,1.0913448447126848,4.261131249536127,0.19998199657935012,0.4,11109,11109,0,1.0,0.6366666666666667,1.0,0.6366666666666667
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,2.0,0.5,25,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.00909172742821136,1.0,0.00909172742821136,81,1100.7999999999997,917.9000000000001,2.0082242092029405,2.786822329546691,1.4037996566243742,5.684143850799688,0.299990998289675,0.5,11109,11109,0,0.9966666666666667,0.5484949832775919,1.0,0.5484949832775919
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,2.0,0.5,50,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.00909172742821136,1.0,0.00909172742821136,81,1100.7999999999997,917.9000000000001,2.0082242092029405,2.786822329546691,1.4037996566243742,5.684143850799688,0.299990998289675,0.5,11109,11109,0,0.9966666666666667,0.5484949832775919,1.0,0.5484949832775919
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,2.0,0.5,100,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.00909172742821136,1.0,0.00909172742821136,81,1100.7999999999997,917.9000000000001,2.0082242092029405,2.786822329546691,1.4037996566243742,5.684143850799688,0.299990998289675,0.5,11109,11109,0,0.9966666666666667,0.5484949832775919,1.0,0.5484949832775919
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,2.0,0.5,200,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.020163831127914304,1.0,0.020163831127914304,126,1088.4999999999998,380.40000000000003,2.025040571286572,2.9027794543577983,1.7461705402139247,7.213716818933014,0.4,0.6,11109,11109,0,0.9933333333333333,0.4798657718120805,1.0,0.4798657718120805
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,1.0,1.0,0,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.03852732019083626,1.0,0.03852732019083626,125,1068.1000000000001,299.0,2.048655467720845,3.1507483886350194,1.9191190746839815,8.598746544304605,0.4499594923035377,0.9,11109,11109,0,1.0,0.39,1.0,0.39
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,1.0,1.0,25,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.049419389684039965,1.0,0.049419389684039965,132,1056.0,295.2,2.0734679815066235,3.2731560010177545,2.245276834654277,10.008899548432506,0.5499684940138627,1.0,11109,11109,0,0.9966666666666667,0.30434782608695654,1.0,0.30434782608695654
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,1.0,1.0,50,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.049419389684039965,1.0,0.049419389684039965,132,1056.0,295.2,2.0734679815066235,3.2731560010177545,2.245276834654277,10.008899548432506,0.5499684940138627,1.0,11109,11109,0,0.9966666666666667,0.30434782608695654,1.0,0.30434782608695654
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,1.0,1.0,100,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.049419389684039965,1.0,0.049419389684039965,132,1056.0,295.2,2.0734679815066235,3.2731560010177545,2.245276834654277,10.008899548432506,0.5499684940138627,1.0,11109,11109,0,0.9966666666666667,0.30434782608695654,1.0,0.30434782608695654
playground00,parking00,replicate_02_base1042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,global,global,0.0,1.0,5.0,1.0,1.0,1.0,200,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.060311459177243676,0.899990998289675,0.049419389684039965,132,1056.0,295.2,2.1036826273970197,3.3914433151983725,2.5847390508452004,11.186089936274632,0.6499774957241876,1.1,11109,11109,0,0.9933333333333333,0.23825503355704697,0.9026845637583892,0.23825503355704697
playground00,parking00,replicate_03_base2042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_03_base2042\fold_04_parking00\v2_evaluated_trajectory.csv,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,0,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.9755833858906208,1.0,0.9755833858906208,38,27.1,3.9000000000000004,0.030504817112558983,0.06109280634846565,0.1572865727826335,0.5317496829466039,0.0,0.0,11099,11099,1,1.0,0.9310344827586207,1.0,0.9310344827586207
playground00,parking00,replicate_03_base2042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_03_base2042\fold_04_parking00\v2_evaluated_trajectory.csv,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,25,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.949905396882602,1.0,0.949905396882602,190,55.60000000000001,3.8000000000000003,0.03216358736561643,0.07019084083720686,0.3999525575135848,1.6076538191747018,0.09999999999999999,0.1,11099,11099,1,0.996551724137931,0.903114186851211,1.0,0.903114186851211
playground00,parking00,replicate_03_base2042,results\doubly_nested_loso_slurm\outer_playground00\qualification_train\target_parking00\v2\replicate_03_base2042\fold_04_parking00\v2_evaluated_trajectory.csv,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,50,1.4944448366416831,1.6932101684591776,0.1042589410222601,0.3859364152964437,0.8623936667318097,0.3654485049833887,1.0,0.949905396882602,1.0,0.949905396882602,190,55.60000000000001,3.8000000000000003,0.03216358736561643,0.07019084083720686,0.3999525575135848,1.6076538191747018,0.09999999999999999,0.1,11099,11099,1,0.996551724137931,0.903114186851211,1.0,0.903114186851211
