outer_sequence,sequence,service,family,horizon_s,pos_tol_m,heading_tol_deg,aoi_limit_s,rate_hz,interval_s,delay_ms,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,failure_duration_s,max_failure_episode_s,mean_aoi_s,max_aoi_s,calibration_coverage,calibration_physical_satisfaction,calibration_freshness_satisfaction,calibration_joint_satisfaction,speed_mean,speed_p95,yaw_abs_mean,yaw_abs_p95,accel_abs_p95,turn_fraction,mean_position_discrepancy_m,p95_position_discrepancy_m,mean_heading_discrepancy_deg,p95_heading_discrepancy_deg,qualified
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,1.0,1.0,0,1.0,0.5906337037356074,1.0,0.5906337037356074,475.2333333333334,15.566666666666668,0.44996123697131535,0.9,1.0,0.6666666666666666,1.0,0.6666666666666666,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.6120146812328251,2.0170625162227482,2.9729538925788748,11.998899901485727,0
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,1.0,1.0,25,1.0,0.5450943233697992,1.0,0.5450943233697992,528.1,15.6,0.5499698509776898,1.0,0.995,0.6549413735343385,1.0,0.6549413735343385,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.6875703593856102,2.199219140696345,3.527849711457446,13.686665777065881,0
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,1.0,1.0,50,1.0,0.5450943233697992,1.0,0.5450943233697992,528.1,15.6,0.5499698509776898,1.0,0.995,0.6549413735343385,1.0,0.6549413735343385,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.6875703593856102,2.199219140696345,3.527849711457446,13.686665777065881,0
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,1.0,1.0,100,1.0,0.5450943233697992,1.0,0.5450943233697992,528.1,15.6,0.5499698509776898,1.0,0.995,0.6549413735343385,1.0,0.6549413735343385,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.6875703593856102,2.199219140696345,3.527849711457446,13.686665777065881,0
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,1.0,1.0,200,1.0,0.49814798862951154,1.0,0.49814798862951154,582.6,17.26666666666667,0.6499784649840641,1.1,0.9899999999999999,0.6430976430976432,1.0,0.6430976430976432,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.7681255506294523,2.4094014315766836,4.109265401501738,15.495268177055669,0
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,2.0,0.5,0,1.0,0.7220547276538318,1.0,0.7220547276538318,322.6666666666667,15.700000000000001,0.1999827719872513,0.4000000000000001,1.0,0.7133333333333334,1.0,0.7133333333333334,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.4159276646696843,1.3859234177262092,1.5375845485762605,6.017197973434743,0
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,2.0,0.5,25,1.0,0.6626180836707153,1.0,0.6626180836707153,391.6666666666667,15.633333333333333,0.2999913859936256,0.5,0.995,0.7001675041876047,1.0,0.7001675041876047,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.4851985233199329,1.5244612207302481,2.0768283990881073,7.860357239249896,0
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,2.0,0.5,50,1.0,0.6626180836707153,1.0,0.6626180836707153,391.6666666666667,15.633333333333333,0.2999913859936256,0.5,0.995,0.7001675041876047,1.0,0.7001675041876047,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.4851985233199329,1.5244612207302481,2.0768283990881073,7.860357239249896,0
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,2.0,0.5,100,1.0,0.6626180836707153,1.0,0.6626180836707153,391.6666666666667,15.633333333333333,0.2999913859936256,0.5,0.995,0.7001675041876047,1.0,0.7001675041876047,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.4851985233199329,1.5244612207302481,2.0768283990881073,7.860357239249896,0
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,2.0,0.5,200,1.0,0.5963476612972695,1.0,0.5963476612972695,468.6000000000001,15.966666666666669,0.4000000000000001,0.6,0.9899999999999999,0.6784511784511785,1.0,0.6784511784511785,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.5653390218682026,1.7716220908217253,2.678453279618118,9.90033500287187,0
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,5.0,0.2,0,1.0,0.8262554914290637,1.0,0.8262554914290637,201.70000000000005,17.566666666666666,0.049995692996812814,0.10000000000000002,1.0,0.7333333333333334,1.0,0.7333333333333334,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.3152341805153045,1.2023912636778267,0.7290008242766944,2.2686453332084002,1
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,5.0,0.2,25,1.0,0.7793665833979384,1.0,0.7793665833979384,256.1333333333333,15.700000000000001,0.15000430700318718,0.20000000000000004,0.995,0.7286432160804021,1.0,0.7286432160804021,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.36601572223223205,1.2489392092786018,1.1703839266998453,4.053207058009752,0
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,5.0,0.2,50,1.0,0.7793665833979384,1.0,0.7793665833979384,256.1333333333333,15.700000000000001,0.15000430700318718,0.20000000000000004,0.995,0.7286432160804021,1.0,0.7286432160804021,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.36601572223223205,1.2489392092786018,1.1703839266998453,4.053207058009752,0
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,5.0,0.2,100,1.0,0.7793665833979384,1.0,0.7793665833979384,256.1333333333333,15.700000000000001,0.15000430700318718,0.20000000000000004,0.995,0.7286432160804021,1.0,0.7286432160804021,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.36601572223223205,1.2489392092786018,1.1703839266998453,4.053207058009752,0
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,5.0,0.2,200,1.0,0.6912452981881874,1.0,0.6912452981881874,358.43333333333334,15.966666666666669,0.2499956929968128,0.3,0.9899999999999999,0.7222222222222222,1.0,0.7222222222222222,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.4427262505873806,1.3857889476882796,1.7759251838063068,6.179882644851051,0
building00,building00,local_10s,local,10.0,0.5,10.0,1.5,10.0,0.1,0,1.0,0.8334338300743677,1.0,0.8334338300743677,193.36666666666667,18.5,0.0,0.0,1.0,0.7283333333333334,1.0,0.7283333333333334,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,0.30069956191611835,1.2028065760089928,0.5853608994884788,1.774335612217456,1
