sequence,base_seed,environment_category,condition_variable,condition_bin,n_samples,duration_s_approx,time_start_s,time_end_s,supported,Dp_mean_m,Dp_p95_m,Dp_max_m,Dtheta_mean_deg,Dtheta_p95_deg,Dtheta_max_deg,Dv_rmse_mps,Dv_p95_mps,Domega_rmse_radps,Domega_p95_radps,persistent_yaw_residual_signed_mean_radps,persistent_yaw_residual_abs_deg_per_min,Iomega_start_deg,Iomega_end_deg,Iomega_delta_deg,Iomega_p95_abs_deg,Iomega_max_abs_deg,RPE1_m,RPEtheta1_deg,RPE1_n_pairs,RPE5_m,RPEtheta5_deg,RPE5_n_pairs,RPE10_m,RPEtheta10_deg,RPE10_n_pairs
street01,42,street,curvature,medium,4521,452.1000000263157,109721.8,110953.2,True,0.3488204690129467,0.7641308848975293,0.889001321817732,0.31087300329614354,0.7557728523368783,3.159399303348071,0.035843597533282846,0.0656917607411741,0.023321336706393466,0.0298648867756128,0.001017791063930076,3.498907943359386,-0.0713344282859839,-14.211679970370778,-14.140345542084793,14.224074098673974,15.881232852949546,0.0362014852062837,0.10336322771926232,4521.0,0.09526325338632036,0.22125345394221696,4521.0,0.16162023542916176,0.2866423160376264,4521.0
street01,42,street,curvature,high,2358,235.80000001372537,109721.9,110953.6,True,0.341103333812669,0.7849077887834345,0.888640070230595,0.384546577022041,0.9782955244195974,1.7275559218141794,0.04067090038485332,0.07649114215746516,0.10733091553589443,0.24680819036439056,-0.003921484180919126,13.48106957963895,-0.11896831296875,-14.2150719173515,-14.09610360438275,14.396567205846207,17.78423657411229,0.031073762775592935,0.2849918495775307,2358.0,0.10902126739478321,0.3887885801062039,2358.0,0.17822901012275325,0.41048189381090044,2358.0
street01,42,street,wheel_imu_disagreement,low,3579,357.9000000208325,109719.3,110967.5,True,0.32016293537119067,0.7400603129926194,0.889001321817732,0.34276837905727514,0.9412376740912356,3.161788710423607,0.02985667634038978,0.05830304073169818,0.03052398831261996,0.042048454843461425,0.0008325387340199827,2.862057344430577,0.0004450200499207,-15.966857090842543,-15.967302110892463,14.591950459366602,15.966857090842543,0.04107160469089914,0.11863004900200148,3569.0,0.11197634308373164,0.25175665930978003,3529.0,0.1654220761837878,0.3105785423252154,3480.0
street01,42,street,wheel_imu_disagreement,medium,3958,395.8000000230386,109722.3,110957.6,True,0.3409121019652535,0.7526356994338352,0.8818184093168363,0.3262640719641201,0.8213501727556102,3.159399303348071,0.03125145848600986,0.060249377018772005,0.03716193100268568,0.07008611550554628,0.0013140975830947875,4.517534722780399,-0.1482587148636125,-14.681916398970136,-14.533657684106524,14.271871687477615,16.168333953017413,0.029217715712065034,0.12050259228270253,3958.0,0.0929281078927746,0.24251500677680538,3958.0,0.16656909742012604,0.31082692910792636,3957.0
street01,42,street,wheel_imu_disagreement,high,4946,494.6000000287895,109721.7,110957.5,True,0.3561141001314081,0.780948265982951,0.888640070230595,0.33617999130276116,0.8444629072967922,3.1236310387373654,0.041110133818158166,0.07641321700066317,0.0675126421200061,0.1787150106392801,-0.0022174679816195997,7.623093393131776,-0.063667554282412,-14.668370738458911,-14.604703184176499,14.538509763956352,17.78423657411229,0.03795994035667512,0.16514368311238192,4946.0,0.09562794463396365,0.2818018022243745,4946.0,0.16573641762876046,0.3322318325270669,4946.0
street01,42,street,persistent_yaw_mismatch,low,0,0.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
street01,42,street,persistent_yaw_mismatch,medium,12483,1248.3000000726606,109719.3,110967.5,True,0.34098642830424647,0.7653032795476656,0.889001321817732,0.33492489485407606,0.8526366117160167,3.161788710423607,0.035140788189769824,0.06651676222681996,0.05010946325484874,0.12333884052932263,-0.00022324299240117392,0.7674528762275025,0.0004450200499207,-15.966857090842543,-15.967302110892463,14.531547979288169,17.78423657411229,0.036400061541331685,0.13766860914109846,12473.0,0.09972963475332144,0.2607669397030939,12433.0,0.16591481794659135,0.3193066405112402,12383.0
street01,42,street,persistent_yaw_mismatch,high,0,0.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
street01,42,street,elapsed_time,early,4161,416.1000000242202,109719.3,110135.3,True,0.3515022860425167,0.6306872105683909,0.6567496367552095,0.35599007842116526,0.8761054333270539,1.677651005707998,0.03445233770566733,0.0701686330139636,0.04662945131072233,0.1084053814411163,-0.0002596281957235798,0.8925359914534567,0.0004450200499207,-6.18973710109001,-6.190182121139931,5.811289454619375,6.95606026426746,0.02895529656552962,0.12170649259350128,4161.0,0.094075785200328,0.22267022814785487,4161.0,0.1658840622032486,0.2802602850129609,4161.0
street01,42,street,elapsed_time,middle,4161,416.1000000242202,110135.4,110551.4,True,0.30130945336275117,0.6083730097112661,0.6826682880277495,0.2839506439292002,0.7631106729393532,1.7275559218141794,0.03960957476696183,0.0687309280037879,0.050465059786960295,0.1240454781800509,-0.00031312520668371445,1.076445168128306,-6.18878805430891,-13.654884342494304,-7.466096288185394,13.161530802143432,15.112099268274504,0.028343675821431706,0.14328292642877621,4161.0,0.07637626386313298,0.25706000805405055,4161.0,0.12736681572527236,0.31355067322362695,4161.0
street01,42,street,elapsed_time,late,4161,416.1000000242202,110551.5,110967.5,True,0.3701475455074717,0.8273002777933209,0.889001321817732,0.36483396221186265,0.9008752922884912,3.161788710423607,0.03080167198692164,0.0608779657632111,0.053026851068365397,0.1329229408875108,-9.697557479622751e-05,0.33337746910074445,-13.775567152381438,-15.966857090842543,-2.1912899384611055,14.735495509604783,17.78423657411229,0.048327517919185804,0.14804133685021062,4151.0,0.12336028687383147,0.30307901933652087,4111.0,0.19779280564669685,0.3652121970520179,4061.0
street01,42,street,environment,building,0,0.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
street01,42,street,environment,parking,0,0.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
street01,42,street,environment,playground,0,0.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
street01,42,street,environment,street,12483,1248.3000000726606,109719.3,110967.5,True,0.34098642830424647,0.7653032795476656,0.889001321817732,0.33492489485407606,0.8526366117160167,3.161788710423607,0.035140788189769824,0.06651676222681996,0.05010946325484874,0.12333884052932263,-0.00022324299240117392,0.7674528762275025,0.0004450200499207,-15.966857090842543,-15.967302110892463,14.531547979288169,17.78423657411229,0.036400061541331685,0.13766860914109846,12473.0,0.09972963475332144,0.2607669397030939,12433.0,0.16591481794659135,0.3193066405112402,12383.0
street01,1042,street,speed,low,3542,354.20000002061715,109719.3,110967.5,True,0.302810236366371,0.7353655952090121,0.9013866565538896,0.2692563007230397,0.7053343240017016,1.773633524633264,0.03530371050833297,0.060161364683881245,0.035361237277415594,0.06947938334196796,-0.0011567122244080291,3.9764837141861658,0.0004450200499207,-20.691714768864816,-20.692159788914736,20.22006494560997,22.84027272720198,0.0441943112524481,0.12528334474471436,3532.0,0.12988698537103338,0.2757166201633564,3492.0,0.1932638994095416,0.3234469087605436,3442.0
street01,1042,street,speed,medium,4265,426.50000002482557,109751.4,110951.8,True,0.3672647637545157,0.7586196972836716,0.9153745877554458,0.2828075105114518,0.6335114513800268,2.996103779172288,0.03341538197937143,0.06576866898685677,0.046769486484454836,0.11512857861816875,-0.00013258144032153338,0.45578141833136754,-0.8942625470075392,-19.87437094007618,-18.98010839306864,19.81931948658793,23.06807194776955,0.03797619208626564,0.12645215086143313,4265.0,0.08109018404241583,0.22220295332384174,4265.0,0.13862973129297818,0.2688431507030405,4265.0
street01,1042,street,speed,high,4676,467.6000000272179,109753.5,110941.3,True,0.3434897795934225,0.7668153075417289,0.9182844942920596,0.3410947276409139,0.8049181042536345,2.988174697115729,0.03507435335822979,0.06772772106342012,0.06104716088938736,0.15631735231727364,0.00022479662874946225,0.7727938845668046,-0.9845908623032472,-19.83597133103788,-18.851380468734632,19.760205348046235,21.82125461302776,0.03027237127174262,0.1430562855778047,4676.0,0.08801999223476473,0.2304652641557028,4676.0,0.15526266088736224,0.27347625311478363,4676.0
street01,1042,street,acceleration,low,3597,359.7000000209373,109719.3,110967.5,True,0.32172848643068686,0.7303275659231699,0.9180501765453298,0.3172194068827348,0.784003342439792,2.996103779172288,0.031037564972426268,0.05940092802047719,0.04908095359066187,0.12190461456775625,0.0010460490002596066,3.596051572725277,0.0004450200499207,-20.691714768864816,-20.692159788914736,20.173211138349668,21.17205883838496,0.04057756724865725,0.13985929445560888,3587.0,0.09750870527538777,0.25255584395082914,3547.0,0.1579470623040739,0.30395554957783516,3497.0
street01,1042,street,acceleration,medium,3909,390.9000000227534,109722.3,110954.0,True,0.33991989914305376,0.758210829696744,0.918249974495125,0.2982076164828039,0.7038768502822269,2.97067677831806,0.03361277909273668,0.06308107860386365,0.05079649410530924,0.12470116168260573,-0.0005941616745900886,2.042577378146249,-0.0758515606786859,-20.01488776454784,-19.939036203869154,19.877068103864396,21.58816430284884,0.03795312254784699,0.1317258387319545,3909.0,0.09516384656161415,0.23699488448242423,3909.0,0.155832915574272,0.2769806155644594,3909.0
street01,1042,street,acceleration,high,4977,497.70000002896995,109721.7,110953.8,True,0.35344425006231894,0.7800538711937962,0.9182844942920596,0.2909598184755444,0.7019130271749127,2.988174697115729,0.03763056278134789,0.07059427052736283,0.04998130566589931,0.12105871699750412,-0.0010149579613729645,3.4891684541923738,-0.0326370523900147,-19.99423788186587,-19.961600829475856,19.847735162093155,23.06807194776955,0.03413083299985403,0.12741788137606574,4977.0,0.10422020717634094,0.23426261338020987,4977.0,0.16836574665075116,0.2798966192790488,4977.0
street01,1042,street,turning,low,5240,524.0000000305008,109719.3,110967.5,True,0.33000190981056343,0.7467414901119133,0.9173837062994336,0.2855857755288752,0.627525342669786,2.996103779172288,0.031031772333059725,0.06142883794382217,0.015547593657684305,0.01858567827584921,0.0003767005501735355,1.2950010999119819,0.0004450200499207,-20.691714768864816,-20.692159788914736,20.054650345851233,20.89524282396934,0.0375148449096786,0.09451916658771382,5230.0,0.10401079983738594,0.2128213411184042,5190.0,0.16580459092692745,0.2671925185678019,5140.0
street01,1042,street,turning,medium,4783,478.3000000278407,109721.9,110957.3,True,0.34944428832709823,0.7587490320473746,0.9182844942920596,0.27775411982347437,0.6252197332215045,2.983048770501696,0.03514216085738979,0.06408167853951444,0.021767466619455392,0.027175167016684945,0.001061999144888713,3.65088413091754,-0.0666518667022059,-20.1791107654991,-20.112458898796895,19.84561663758653,21.16270023203793,0.03968274670237593,0.10228946151143321,4783.0,0.09312867462977113,0.19963994632746745,4783.0,0.15418872922493623,0.24980648857408852,4783.0
street01,1042,street,turning,high,2460,246.00000001431908,109723.3,110952.0,True,0.34329034370962436,0.7813922253122743,0.918249974495125,0.37799649473751135,0.9681055991813193,1.8986360393315889,0.040205026537011586,0.07527342243120046,0.10602104734604187,0.24187557008117422,-0.004335300121424445,14.903663992810442,-0.1072227470207922,-19.93228477039058,-19.82506202336979,20.025857438028122,23.06807194776955,0.03150809631521048,0.27120514339887397,2460.0,0.10192302736273709,0.37753373375605576,2460.0,0.166544403268982,0.3945127142189511,2460.0
street01,1042,street,curvature,low,5371,537.1000000312633,109722.3,110953.4,True,0.3428440235018942,0.7531506189150012,0.9180501765453298,0.2906698839405724,0.6336707052558965,2.996103779172288,0.031844524994197286,0.06301506329327816,0.017345857809603425,0.02089340845122925,0.0005807737504447455,1.9965530851480824,-0.0758515606786859,-19.991845125193212,-19.915993564514526,19.873975824633177,20.89524282396934,0.037579679686746026,0.09665501528391807,5371.0,0.09957915011675976,0.2061765194943096,5371.0,0.1591765843601329,0.259188805853446,5371.0
street01,1042,street,curvature,medium,4521,452.1000000263157,109721.8,110953.2,True,0.34809348257072237,0.757547738337605,0.9182844942920596,0.2770442254518363,0.6367265392330641,2.1065240283347397,0.035156436137504285,0.0634355479851364,0.02314286225367038,0.0296082077547906,0.0008001072121960895,2.750565985008847,-0.0300428825100692,-19.93752915838931,-19.90748627587924,19.85700980696853,21.16270023203793,0.040440036966305215,0.1020012401715614,4521.0,0.09693083900477506,0.20221562686763472,4521.0,0.15576313538131237,0.2525000966503637,4521.0
