condition_variable,nominal_bin,comparison_bin,metric,n_sequences,mean_delta_vs_nominal,median_delta_vs_nominal,mean_ratio_vs_nominal,median_ratio_vs_nominal,n_sequences_degraded,fraction_sequences_degraded,sequences_degraded
elapsed_time,early,middle,RPE5_m,10,0.04930017960595248,0.0005367580980032427,1.5098596979648466,1.0389272218603047,5,0.5,"building00,building01,building02,playground00,street02"
elapsed_time,early,middle,RPE10_m,10,0.07137574382890034,-0.0012885095252067533,1.4484319482050876,1.0351497934410725,5,0.5,"building00,building01,building02,playground00,street02"
elapsed_time,early,middle,persistent_yaw_residual_abs_deg_per_min,10,0.005546452783915324,-0.07026069043377847,1.1349339205170956,0.894648844766482,4,0.4,"building01,street00,street01,street02"
elapsed_time,early,middle,Iomega_p95_abs_deg,10,6.458737801958141,6.806142424885604,2.044630269131935,1.8890522578938778,10,1.0,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street01,street02"
elapsed_time,early,late,Dp_mean_m,10,1.782474970941389,0.050014345998536824,2.135219733852217,1.2585311525154492,8,0.8,"building00,building02,parking01,parking02,playground00,street00,street01,street02"
elapsed_time,early,late,Dp_p95_m,10,2.6233820729879964,0.15461748702117792,2.2973600901601374,1.2896914112994264,7,0.7,"building00,building02,parking01,parking02,playground00,street00,street01"
elapsed_time,early,late,Dtheta_mean_deg,10,2.567279817770796,0.12217388749225108,1.6887129160083472,1.2681084253603132,6,0.6,"building00,building01,building02,parking01,parking02,street02"
elapsed_time,early,late,Dtheta_p95_deg,10,2.5888608700970277,0.5263169784251596,1.5039256136366903,1.4276184809518528,7,0.7,"building00,building01,building02,parking01,parking02,street00,street02"
elapsed_time,early,late,Dv_rmse_mps,10,0.0008753009076321345,0.001733384345006285,1.0201251626691081,1.0380336675401003,6,0.6,"building00,building01,building02,parking00,playground00,street00"
elapsed_time,early,late,Domega_rmse_radps,10,0.0028207202732526337,0.003007862625938452,1.102517936864558,1.132466276254847,8,0.8,"building00,building01,building02,parking00,playground00,street00,street01,street02"
elapsed_time,early,late,RPE1_m,10,0.007191168633699778,0.0009534317430462871,1.500402096756973,1.0578730617188652,6,0.6,"building00,building01,building02,playground00,street01,street02"
elapsed_time,early,late,RPE5_m,10,0.013131704925955815,0.0009733548794161051,1.2860997534320888,1.0224346372480093,6,0.6,"building00,building01,building02,playground00,street01,street02"
elapsed_time,early,late,RPE10_m,10,0.016597006627301167,0.0008786590775819378,1.2166529131859423,1.0168761075393897,5,0.5,"building00,building01,building02,playground00,street01"
elapsed_time,early,late,persistent_yaw_residual_abs_deg_per_min,10,-0.15336955181966277,-0.18737206109111734,0.9508189875851482,0.7943661111610008,4,0.4,"building01,building02,street00,street02"
elapsed_time,early,late,Iomega_p95_abs_deg,10,11.601214639851474,8.91502586534416,2.8445728738244687,2.688331448722031,10,1.0,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street01,street02"
