sequence,model_replicate,transport_replicate,condition,service,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,eligible_samples,observable_samples,mean_aoi_s,max_aoi_s,qualified
playground00,seed_2042,1,practical,global,1.0,0.9965285813469105,1.0,0.9965285813469105,12963,12963,0.15796497724305777,0.6000000000058208,1
street00,seed_42,1,practical,local_1s,1.0,0.8889633601429848,0.9994787012213285,0.8889633601429848,13428,13428,0.15795352993737696,0.6000000000058208,1
street00,seed_42,1,practical,local_5s,1.0,0.89632506722438,1.0,0.89632506722438,13388,13388,0.15797729309822958,0.6000000000058208,1
street00,seed_42,1,practical,local_10s,1.0,0.9740590793222372,1.0,0.9740590793222372,13338,13338,0.15800719748081404,0.6000000000058208,1
street00,seed_42,1,practical,global,1.0,0.9979907724363745,1.0,0.9979907724363745,13438,13438,0.15794761125160722,0.6000000000058208,1
street00,seed_1042,1,practical,local_1s,1.0,0.889708072683944,0.9994787012213285,0.889708072683944,13428,13428,0.15795352993737696,0.6000000000058208,1
street00,seed_1042,1,practical,local_5s,1.0,0.8968479235135942,1.0,0.8968479235135942,13388,13388,0.15797729309822958,0.6000000000058208,1
street00,seed_1042,1,practical,local_10s,1.0,0.975033738191633,1.0,0.975033738191633,13338,13338,0.15800719748081404,0.6000000000058208,1
street00,seed_1042,1,practical,global,1.0,0.9981396041077542,1.0,0.9981396041077542,13438,13438,0.15794761125160722,0.6000000000058208,1
street00,seed_2042,1,practical,local_1s,1.0,0.8885165326184093,0.9994787012213285,0.8885165326184093,13428,13428,0.15795352993737696,0.6000000000058208,1
street00,seed_2042,1,practical,local_5s,1.0,0.894009560800717,1.0,0.894009560800717,13388,13388,0.15797729309822958,0.6000000000058208,1
street00,seed_2042,1,practical,local_10s,1.0,0.9733843154895786,1.0,0.9733843154895786,13338,13338,0.15800719748081404,0.6000000000058208,1
street00,seed_2042,1,practical,global,1.0,0.9979163566006847,1.0,0.9979163566006847,13438,13438,0.15794761125160722,0.6000000000058208,1
street01,seed_42,1,practical,local_1s,1.0,0.8248582929433993,0.9995071058900846,0.8248582929433993,12173,12173,0.15790684301327715,0.6000000000058208,1
street01,seed_42,1,practical,local_5s,1.0,0.8157092227808457,1.0,0.8157092227808457,12133,12133,0.15793291024483827,0.6000000000058208,1
street01,seed_42,1,practical,local_10s,1.0,0.9198046842671522,1.0,0.9198046842671522,12083,12083,0.15796573698589944,0.6000000000058208,1
street01,seed_42,1,practical,global,1.0,0.9667569564146762,1.0,0.9667569564146762,12183,12183,0.15790035295088425,0.6000000000058208,1
street01,seed_1042,1,practical,local_1s,1.0,0.824036802760207,0.9995071058900846,0.824036802760207,12173,12173,0.15790684301327715,0.6000000000058208,1
street01,seed_1042,1,practical,local_5s,1.0,0.8135663067666694,1.0,0.8135663067666694,12133,12133,0.15793291024483827,0.6000000000058208,1
street01,seed_1042,1,practical,local_10s,1.0,0.9216254241496317,1.0,0.9216254241496317,12083,12083,0.15796573698589944,0.6000000000058208,1
street01,seed_1042,1,practical,global,1.0,0.9667569564146762,1.0,0.9667569564146762,12183,12183,0.15790035295088425,0.6000000000058208,1
street01,seed_2042,1,practical,local_1s,1.0,0.8232974615953339,0.9995071058900846,0.8232974615953339,12173,12173,0.15790684301327715,0.6000000000058208,1
street01,seed_2042,1,practical,local_5s,1.0,0.8221379708233743,1.0,0.8221379708233743,12133,12133,0.15793291024483827,0.6000000000058208,1
street01,seed_2042,1,practical,local_10s,1.0,0.9222875113796243,1.0,0.9222875113796243,12083,12083,0.15796573698589944,0.6000000000058208,1
street01,seed_2042,1,practical,global,1.0,0.9686448329639662,1.0,0.9686448329639662,12183,12183,0.15790035295088425,0.6000000000058208,1
street02,seed_42,1,practical,local_1s,1.0,0.8030988212617689,0.9994810586403736,0.8030988212617689,13489,13489,0.1579212691822296,0.6000000000058208,1
street02,seed_42,1,practical,local_5s,1.0,0.7892780132351848,1.0,0.7892780132351848,13449,13449,0.1579448286117254,0.6000000000058208,0
street02,seed_42,1,practical,local_10s,1.0,0.9151429211135159,1.0,0.9151429211135159,13399,13399,0.15797447570707476,0.6000000000058208,1
street02,seed_42,1,practical,global,1.0,0.9153270612637974,1.0,0.9153270612637974,13499,13499,0.1579154011407582,0.6000000000058208,1
