sequence,model_replicate,transport_replicate,condition,requested_rate_hz,realized_arrival_rate_hz,requested_packets,delivered_packets,lost_packets,realized_loss_fraction,delay_p50_ms,delay_p95_ms,delay_max_ms,capture_packets,trace_repetitions
building02,seed_2042,3,degraded,2.0,1.9173836370437485,3743,3588,155,0.04141063318193962,209.821556,307.090999,509.538272,360,10.397222222222222
parking00,seed_42,3,degraded,2.0,1.9170757363254052,2282,2187,95,0.04163014899211218,209.821556,307.090999,509.538272,360,6.338888888888889
parking00,seed_1042,3,degraded,2.0,1.9170757363254052,2282,2187,95,0.04163014899211218,209.821556,307.090999,509.538272,360,6.338888888888889
parking00,seed_2042,3,degraded,2.0,1.9170757363254052,2282,2187,95,0.04163014899211218,209.821556,307.090999,509.538272,360,6.338888888888889
parking01,seed_42,3,degraded,2.0,1.9173428948858486,2120,2032,88,0.04150943396226415,209.821556,310.39874919999863,509.538272,360,5.888888888888889
parking01,seed_1042,3,degraded,2.0,1.9173428948858486,2120,2032,88,0.04150943396226415,209.821556,310.39874919999863,509.538272,360,5.888888888888889
parking01,seed_2042,3,degraded,2.0,1.9173428948858486,2120,2032,88,0.04150943396226415,209.821556,310.39874919999863,509.538272,360,5.888888888888889
parking02,seed_42,3,degraded,2.0,1.9175684277530414,2514,2410,104,0.04136833731105807,209.821556,307.090999,509.538272,360,6.983333333333333
parking02,seed_1042,3,degraded,2.0,1.9175684277530414,2514,2410,104,0.04136833731105807,209.821556,307.090999,509.538272,360,6.983333333333333
parking02,seed_2042,3,degraded,2.0,1.9175684277530414,2514,2410,104,0.04136833731105807,209.821556,307.090999,509.538272,360,6.983333333333333
playground00,seed_42,3,degraded,2.0,1.9167546373095474,2653,2543,110,0.04146249528835281,209.821556,307.090999,509.538272,360,7.3694444444444445
playground00,seed_1042,3,degraded,2.0,1.9167546373095474,2653,2543,110,0.04146249528835281,209.821556,307.090999,509.538272,360,7.3694444444444445
playground00,seed_2042,3,degraded,2.0,1.9167546373095474,2653,2543,110,0.04146249528835281,209.821556,307.090999,509.538272,360,7.3694444444444445
street00,seed_42,3,degraded,2.0,1.9189051466841418,2748,2636,112,0.040756914119359534,209.821556,307.090999,509.538272,360,7.633333333333334
street00,seed_1042,3,degraded,2.0,1.9189051466841418,2748,2636,112,0.040756914119359534,209.821556,307.090999,509.538272,360,7.633333333333334
street00,seed_2042,3,degraded,2.0,1.9189051466841418,2748,2636,112,0.040756914119359534,209.821556,307.090999,509.538272,360,7.633333333333334
street01,seed_42,3,degraded,2.0,1.9171607114244558,2497,2394,103,0.04124949939927913,209.821556,307.090999,509.538272,360,6.936111111111111
street01,seed_1042,3,degraded,2.0,1.9171607114244558,2497,2394,103,0.04124949939927913,209.821556,307.090999,509.538272,360,6.936111111111111
street01,seed_2042,3,degraded,2.0,1.9171607114244558,2497,2394,103,0.04124949939927913,209.821556,307.090999,509.538272,360,6.936111111111111
street02,seed_42,3,degraded,2.0,1.9183939701406163,2760,2647,113,0.040942028985507244,209.821556,307.090999,509.538272,360,7.666666666666667
street02,seed_1042,3,degraded,2.0,1.9183939701406163,2760,2647,113,0.040942028985507244,209.821556,307.090999,509.538272,360,7.666666666666667
street02,seed_2042,3,degraded,2.0,1.9183939701406163,2760,2647,113,0.040942028985507244,209.821556,307.090999,509.538272,360,7.666666666666667
building00,seed_42,1,ideal,10.0,10.000000000000005,12009,12009,0,0.0,0.249073,2.058975,420.305606,1800,6.671666666666667
building00,seed_1042,1,ideal,10.0,10.000000000000005,12009,12009,0,0.0,0.249073,2.058975,420.305606,1800,6.671666666666667
building00,seed_2042,1,ideal,10.0,10.000000000000005,12009,12009,0,0.0,0.249073,2.058975,420.305606,1800,6.671666666666667
building01,seed_42,1,ideal,10.0,10.000000000000005,13689,13689,0,0.0,0.249073,2.058975,420.305606,1800,7.605
building01,seed_1042,1,ideal,10.0,10.000000000000005,13689,13689,0,0.0,0.249073,2.058975,420.305606,1800,7.605
building01,seed_2042,1,ideal,10.0,10.000000000000005,13689,13689,0,0.0,0.249073,2.058975,420.305606,1800,7.605
building02,seed_42,1,ideal,10.0,9.999999999999906,18714,18714,0,0.0,0.249606,1.964285,420.305606,1800,10.396666666666667
building02,seed_1042,1,ideal,10.0,9.999999999999906,18714,18714,0,0.0,0.249606,1.964285,420.305606,1800,10.396666666666667
building02,seed_2042,1,ideal,10.0,9.999999999999906,18714,18714,0,0.0,0.249606,1.964285,420.305606,1800,10.396666666666667
parking00,seed_42,1,ideal,10.0,10.000000000000101,11409,11409,0,0.0,0.249339,1.961488,420.305606,1800,6.338333333333333
parking00,seed_1042,1,ideal,10.0,10.000000000000101,11409,11409,0,0.0,0.249339,1.961488,420.305606,1800,6.338333333333333
parking00,seed_2042,1,ideal,10.0,10.000000000000101,11409,11409,0,0.0,0.249339,1.961488,420.305606,1800,6.338333333333333
parking01,seed_42,1,ideal,10.0,10.00000000000011,10599,10599,0,0.0,0.250368,2.058975,420.305606,1800,5.888333333333334
parking01,seed_1042,1,ideal,10.0,10.00000000000011,10599,10599,0,0.0,0.250368,2.058975,420.305606,1800,5.888333333333334
parking01,seed_2042,1,ideal,10.0,10.00000000000011,10599,10599,0,0.0,0.250368,2.058975,420.305606,1800,5.888333333333334
parking02,seed_42,1,ideal,10.0,10.000000000000092,12569,12569,0,0.0,0.250368,2.047448,420.305606,1800,6.982777777777778
