sequence,condition,service,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,mean_aoi_s,max_aoi_s,qualified
playground00,stress,local_10s,1.0,0.5208911002271805,0.9187851460260696,0.5175049884682164,0.9269195885012288,3.366666666678308,0
playground00,stress,local_1s,1.0,0.41643720459438827,0.21459636120332484,0.10739682784768866,0.9268998173056084,3.366666666678308,0
playground00,stress,local_5s,1.0,0.39299758210933,0.6620201863754872,0.32760267430754536,0.9267766333843555,3.366666666678308,0
street00,degraded,global,1.0,0.8271402821187015,0.9816192885846109,0.8258752129119743,0.48784293297031694,1.4666666666598758,1
street00,degraded,local_10s,1.0,0.6387181153263025,0.999600139951017,0.6386681328201795,0.4878017693748964,1.4666666666598758,0
street00,degraded,local_1s,1.0,0.5793946314500381,0.8293863568662496,0.5397428259358554,0.48783387945004303,1.4666666666598758,0
street00,degraded,local_5s,1.0,0.5758224612422401,0.9815755402848322,0.575349400790094,0.4879095707540641,1.4666666666598758,0
street00,ideal,global,1.0,0.9997023366572407,1.0,0.9997023366572407,0.10033735178845445,0.1666666666715173,1
street00,ideal,local_10s,1.0,0.9985088552340015,1.0,0.9985088552340015,0.10033988104162923,0.1666666666715173,1
street00,ideal,local_1s,1.0,0.9924039320822163,1.0,0.9924039320822163,0.10033760301856202,0.1666666666715173,1
street00,ideal,local_5s,1.0,0.9919164757826245,1.0,0.9919164757826245,0.10033861169205638,0.1666666666715173,1
street00,practical,global,1.0,0.996907608605778,1.0,0.996907608605778,0.15851813265858825,0.6333333333362438,1
street00,practical,local_10s,1.0,0.9713600239916028,1.0,0.9713600239916028,0.15857199980002828,0.6333333333362438,1
street00,practical,local_1s,1.0,0.8928275907721842,0.9975672723662,0.8925793532585311,0.15852447621880464,0.6333333333362438,1
street00,practical,local_5s,1.0,0.898615675729509,1.0,0.898615675729509,0.15854994522453755,0.6333333333362438,1
street00,stress,global,1.0,0.39947247440922096,0.6624497693109094,0.38487043376163776,0.9257057101693049,3.366666666663756,0
street00,stress,local_10s,1.0,0.48699621799036996,0.9198030689258759,0.48438879725429435,0.9253236367213251,3.366666666663756,0
street00,stress,local_1s,1.0,0.43804819117598387,0.30426472048455966,0.16521861450369046,0.9253152616365191,3.366666666663756,0
street00,stress,local_5s,1.0,0.41050028217641005,0.6626829997012249,0.33495999734422205,0.9251917139668916,3.366666666663756,0
street01,degraded,global,1.0,0.6783769733782046,0.9816410845713973,0.6779574452561401,0.4877260663737345,1.4666666666647263,0
street01,degraded,local_10s,1.0,0.5998602260292238,0.999613782449171,0.5998602260292238,0.48767966012564457,1.4666666666647263,0
street01,degraded,local_1s,1.0,0.5229150122767144,0.8296229360059147,0.48873189298721215,0.48771598345775374,1.4666666666647263,0
street01,degraded,local_5s,1.0,0.4828795662884511,0.981592900903871,0.48263230674835395,0.48779911535740145,1.4666666666647263,0
street01,ideal,global,1.0,0.99622424690142,1.0,0.99622424690142,0.10032559030343075,0.1666666666715173,1
street01,ideal,local_10s,1.0,0.9505641534938896,1.0,0.9505641534938896,0.10032828491820713,0.1666666666715173,1
street01,ideal,local_1s,1.0,0.92246958204405,1.0,0.92246958204405,0.10032585777266875,0.1666666666715173,1
street01,ideal,local_5s,1.0,0.9234869089810159,1.0,0.9234869089810159,0.10032693205857551,0.1666666666715173,1
street01,practical,global,1.0,0.9666566344724434,1.0,0.9666566344724434,0.15858436619335795,0.6333333333362438,1
street01,practical,local_10s,1.0,0.9160988349103883,1.0,0.9160988349103883,0.1586443763966191,0.6333333333362438,1
street01,practical,local_1s,1.0,0.8265286563158903,0.997535529450423,0.8261452942304006,0.15859141816591468,0.6333333333362438,1
street01,practical,local_5s,1.0,0.8193540115570941,1.0,0.8193540115570941,0.1586197423006412,0.6333333333362438,1
street01,stress,global,1.0,0.29236550019608376,0.6622069003255903,0.28566217041961933,0.9263974390515095,3.366666666663756,0
street01,stress,local_10s,1.0,0.4448214663393013,0.9187563794863307,0.4427708350575188,0.9259814063807137,3.366666666663756,0
street01,stress,local_1s,1.0,0.3715782651952865,0.30452641090938964,0.14883576585704245,0.9259673046877983,3.366666666663756,0
street01,stress,local_5s,1.0,0.3133510993891774,0.6624632544850133,0.26160975118364055,0.9258331272808059,3.366666666663756,0
street02,degraded,global,1.0,0.6077569531899482,0.9815788823863496,0.6070490818249912,0.48787070646626357,1.4666666666598758,0
street02,degraded,local_10s,1.0,0.5789072152979907,0.9996019603452994,0.5789072152979907,0.4878299375517084,1.4666666666598758,0
street02,degraded,local_1s,1.0,0.49953460020922397,0.8292682926829269,0.46760735084554494,0.4878617144775855,1.4666666666598758,0
street02,degraded,local_5s,1.0,0.47232755843061436,0.9815351822936029,0.47224494179658133,0.48793714525900683,1.4666666666598758,0
street02,ideal,global,1.0,0.9814554164506012,1.0,0.9814554164506012,0.1003358273452287,0.1666666666715173,1
street02,ideal,local_10s,1.0,0.9494075013889925,1.0,0.9494075013889925,0.1003383337064887,0.1666666666715173,1
street02,ideal,local_1s,1.0,0.9074554575332987,1.0,0.9074554575332987,0.1003360763090846,0.1666666666715173,1
street02,ideal,local_5s,1.0,0.9120380697449624,1.0,0.9120380697449624,0.10033707586684824,0.1666666666715173,1
street02,practical,global,1.0,0.9235251993974862,1.0,0.9235251993974862,0.158483344445226,0.6333333333362438,1
street02,practical,local_10s,1.0,0.9127961456493436,1.0,0.9127961456493436,0.1585367067193652,0.6333333333362438,1
street02,practical,local_1s,1.0,0.8078928509649839,0.997578273655077,0.8076951590184595,0.15848963352851256,0.6333333333362438,1
street02,practical,local_5s,1.0,0.8019100965788453,1.0,0.8019100965788453,0.15851488338657937,0.6333333333362438,1
street02,stress,global,1.0,0.2737486727411907,0.6624688248512235,0.265706924792783,0.925927846501328,3.366666666663756,0
street02,stress,local_10s,1.0,0.4276106840477316,0.9195462347936414,0.4261512053138294,0.925549170330274,3.366666666663756,0
street02,stress,local_1s,1.0,0.3568504378052899,0.30437146316751923,0.1399906096325401,0.9255393283357909,3.366666666663756,0
street02,stress,local_5s,1.0,0.30744128022736095,0.6627010682330781,0.25624375211705125,0.9254170074544612,3.366666666663756,0
