fold,test_sequence,method,status,train_sequences,validation_sequences,samples,duration_s,gnss_source,odo_source,ate_rmse_m,ate_median_m,ate_p95_m,ate_max_m,ate_se2_rmse_m,heading_mae_deg,heading_p95_deg,rpe_1s_trans_rmse_m,rpe_5s_trans_rmse_m,rpe_10s_trans_rmse_m,final_error_m,final_error_se2_m,final_drift_per_m,path_length_ratio,gnss_seen,gnss_normal,gnss_reacquired,gnss_rejected,gnss_rejection_rate_pct,gnss_max_coast_s,mean_abs_delta_v_mps,p95_abs_delta_v_mps,max_abs_delta_v_mps,mean_abs_delta_omega_radps,p95_abs_delta_omega_radps,max_abs_delta_omega_radps,alpha_xy_mean,alpha_xy_p95,alpha_xy_max,alpha_heading_mean,alpha_heading_p95,alpha_heading_max,error,replicate,base_seed,fold_seed,method_seed,schema
1,building00,gru_dual_3seed_deterministic,ok,"parking00,parking01,parking02,playground00,street00,street01,street02","building01,building02",12009,1200.7999999999993,OEM719_RTK,ODO_SPEED,1.7901810777886882,1.4256249070308555,3.2879335538551406,4.895179379116132,0.9504793476470768,0.8421255345425543,2.6385721104437296,0.1374639419786074,0.35444265202564007,0.537491177716973,1.3958111476703423,0.29745810942235956,0.00017795220387852148,1.0107579829718547,1198,642,24,532,44.40734557595993,55.899999999999636,0.02437439188361168,0.050971515476703644,0.27341902256011963,0.024171533063054085,0.09161243587732315,0.2826440632343292,1.064655065536499,1.2115371227264404,6.850046157836914,1.0193333625793457,1.0414942502975464,7.376852035522461,,2,1042,1042,1045,i2nav_original_dual_10fold_3seed_deterministic_v1
2,building01,gru_dual_3seed_deterministic,ok,"building00,parking01,parking02,playground00,street00,street01,street02","building02,parking00",13689,1368.800000000001,OEM719_RTK,ODO_SPEED,1.5633600803505912,1.4188547840942152,2.1336205899302962,4.218914629761096,0.5982942954378708,1.0130570378260242,2.951901800956526,0.09598138800855688,0.255907512887413,0.41437674792135554,1.2802238808987567,0.24964999994288678,0.00014450747563370686,1.0086472836614913,1365,769,16,580,42.49084249084249,103.89999999999964,0.0228139515966177,0.05120556429028511,0.19712354242801666,0.020640065893530846,0.07814108580350876,0.2502109408378601,1.0693637132644653,1.125830888748169,6.907171249389648,1.0114604234695435,1.021716833114624,3.9025940895080566,,2,1042,1142,1145,i2nav_original_dual_10fold_3seed_deterministic_v1
3,building02,gru_dual_3seed_deterministic,ok,"building00,building01,parking02,playground00,street00,street01,street02","parking00,parking01",18714,1871.2999999999884,OEM719_RTK,ODO_SPEED,1.7270057733046253,0.360930145099227,4.570813596423876,5.075075392219249,1.7017164204362292,0.769679042794332,3.0060311407640006,0.12053176072400305,0.3105304672004945,0.4823263464649678,0.10954020972427833,0.1704944347194577,6.764319081077227e-05,1.0069064540281405,1872,1431,19,422,22.542735042735043,33.90000000002328,0.022607093676924706,0.055290043354034424,0.19663293659687042,0.02234680950641632,0.09125971049070358,0.26509618759155273,1.061005711555481,1.2071515321731567,6.794572830200195,1.0086255073547363,1.0215420722961426,4.946380615234375,,2,1042,1242,1245,i2nav_original_dual_10fold_3seed_deterministic_v1
4,parking00,gru_dual_3seed_deterministic,ok,"building00,building01,building02,playground00,street00,street01,street02","parking01,parking02",11409,1140.7999999999884,OEM719_RTK,ODO_SPEED,2.1878564450732685,2.0685849252909043,3.1910218512915747,6.047121856591387,0.8157713137386846,0.683874099433684,2.714646965617993,0.15237174158912625,0.3613431080579973,0.5167765398039643,2.1246421373667856,0.355550490632882,0.0002248238924895799,1.0053989276947926,1140,718,2,420,36.8421052631579,135.89999999999418,0.02289242297410965,0.05329924821853638,0.14010947942733765,0.021060755476355553,0.07661635428667068,0.2768148183822632,1.0875011682510376,1.223700761795044,9.297966003417969,1.0126017332077026,1.021713376045227,5.488255023956299,,2,1042,1342,1345,i2nav_original_dual_10fold_3seed_deterministic_v1
5,parking01,gru_dual_3seed_deterministic,ok,"building00,building01,building02,parking00,street00,street01,street02","parking02,playground00",10599,1059.7999999999884,NONE,ODO_SPEED,5.952625496101227,4.1477038919983995,11.774695075088609,13.721812105948029,2.949125917122464,8.216808138177193,16.505089766184053,0.022653073670120157,0.08289773861308651,0.15355795121170732,6.897609643635571,4.538400722881402,0.0037109039800826654,0.9994262039438151,0,0,0,0,0.0,0.0,0.021684734150767326,0.052025336772203445,0.1419747918844223,0.016402065753936768,0.07367798686027527,0.2708597183227539,1.1766384840011597,1.9682650566101074,8.08513069152832,1.0301105976104736,1.1428850889205933,2.9950451850891113,,2,1042,1442,1445,i2nav_original_dual_10fold_3seed_deterministic_v1
6,parking02,gru_dual_3seed_deterministic,ok,"building00,building01,building02,parking00,parking01,street01,street02","playground00,street00",12569,1256.7999999999884,NONE,ODO_SPEED,15.382843471760316,10.073871947896803,29.85743617655305,33.663335615621385,8.33540831080954,22.36725688570377,42.35601889604306,0.019256279191263763,0.05914266734852111,0.10981151397843955,28.028548543148588,14.518240865067938,0.010074916477477713,0.9987148565583536,0,0,0,0,0.0,0.0,0.02131013013422489,0.0514652244746685,0.15447372198104858,0.016028009355068207,0.06839877367019653,0.2761095464229584,1.1230958700180054,1.3037519454956055,8.532288551330566,1.0227738618850708,1.037697434425354,4.464956283569336,,2,1042,1542,1545,i2nav_original_dual_10fold_3seed_deterministic_v1
7,playground00,gru_dual_3seed_deterministic,ok,"building00,building01,building02,parking00,parking01,parking02,street02","street00,street01",13263,1326.2000000000116,OEM719_RTK,ODO_SPEED,0.2408361449146827,0.23089076345860865,0.36881657269363416,0.4207083411614043,0.20588942914054156,0.23974207056877214,0.6688780194126961,0.014345140950564505,0.048610515028239244,0.0905850736283886,0.02610189762451577,0.09155665113198003,5.357451481715918e-05,1.0012931018787674,1326,1326,0,0,0.0,0.9000000000232831,0.0219887625426054,0.0540173277258873,0.34837841987609863,0.02021927572786808,0.07476247102022171,0.24761933088302612,1.0489535331726074,1.1419192552566528,4.4654645919799805,1.0110580921173096,1.013766884803772,6.564584732055664,,2,1042,1642,1645,i2nav_original_dual_10fold_3seed_deterministic_v1
8,street00,gru_dual_3seed_deterministic,ok,"building00,building01,building02,parking00,parking01,parking02,playground00","street01,street02",13738,1373.699999999997,OEM719_RTK,ODO_SPEED,0.2984460597282598,0.23599664556474717,0.5191095044527193,0.5950992951592462,0.26115726580643744,0.2537418470143308,0.7649846255601508,0.01750445758502971,0.06347588918293813,0.11070161432553531,0.03085767349894996,0.12770434531011904,7.660993936999123e-05,1.0015570865913026,1373,1373,0,0,0.0,0.9000000000087311,0.019516602158546448,0.03751257061958313,0.20565687119960785,0.013228741474449635,0.0476907454431057,0.1896355301141739,1.0275025367736816,1.0499820709228516,7.487325191497803,1.0049110651016235,1.0048929452896118,4.676024436950684,,2,1042,1742,1745,i2nav_original_dual_10fold_3seed_deterministic_v1
9,street01,gru_dual_3seed_deterministic,ok,"building01,building02,parking00,parking01,parking02,playground00,street00","street02,building00",12483,1248.199999999997,OEM719_RTK,ODO_SPEED,0.40094622921951434,0.25523096760731273,0.7672441962953296,0.9058850228403168,0.3323002380662829,0.3899863867741429,1.2781792944476964,0.041302185715890234,0.12010232645588516,0.20476447748055757,0.09655768865851805,0.1287094097452846,7.755968376240148e-05,1.0006658263683603,1248,1209,2,37,2.96474358974359,11.900000000008731,0.02174704149365425,0.05012088268995285,0.1271282285451889,0.022733522579073906,0.1424853354692459,0.1999329924583435,1.0691624879837036,1.334153175354004,4.508946418762207,1.0579240322113037,1.0922952890396118,9.281249046325684,,2,1042,1842,1845,i2nav_original_dual_10fold_3seed_deterministic_v1
10,street02,gru_dual_3seed_deterministic,ok,"building02,parking00,parking01,parking02,playground00,street00,street01","building00,building01",13799,1379.800000000003,OEM719_RTK,ODO_SPEED,0.458748152430074,0.2788523403898691,0.8482988329655314,0.9731301489853006,0.34956464644667307,0.4804204058428629,1.2628692937290422,0.03678506122630417,0.10813045272699572,0.18381729176429867,0.07823942156995738,0.16291598153540743,8.825297554621439e-05,1.0008940556856616,1379,1238,10,131,9.499637418419145,11.900000000008731,0.021804342046380043,0.041995082050561905,0.22622250020503998,0.024677574634552002,0.15469275414943695,0.238692507147789,1.01858389377594,1.0312775373458862,4.5355424880981445,1.0899875164031982,1.0914318561553955,9.720892906188965,,2,1042,1942,1945,i2nav_original_dual_10fold_3seed_deterministic_v1
