method,domain,mad,metric_a,metric_b,n_sequences,spearman,bootstrap_ci_low,bootstrap_ci_high,valid_bootstrap_replicates,interpretation
Twin V1,heading,5.0,dtheta_p95_deg,pct_matched,10,-0.9245067028843873,-0.9905211130872972,-0.7115124735378854,19995,exploratory sequence-level correlation
Twin V1,heading,5.0,heading_mae_deg,ed_mean_deg,10,0.9999999999999999,0.9999999999999999,1.0,20000,exploratory sequence-level correlation
Twin V1,heading,5.0,dtheta_p95_deg,fd_max_deg,10,0.9272727272727272,0.6603773584905661,1.0,20000,exploratory sequence-level correlation
Twin V1,heading,10.0,heading_mae_deg,pct_matched,10,-0.812776759390954,-0.9712858623572642,-0.528680532637681,19401,exploratory sequence-level correlation
Twin V1,heading,10.0,dtheta_p95_deg,pct_matched,10,-0.812776759390954,-0.9712858623572642,-0.528680532637681,19389,exploratory sequence-level correlation
Twin V1,heading,10.0,heading_mae_deg,ed_mean_deg,10,0.9999999999999999,0.9999999999999999,1.0,20000,exploratory sequence-level correlation
Twin V1,heading,10.0,dtheta_p95_deg,fd_max_deg,10,0.9272727272727272,0.6603773584905661,1.0,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.25,ate_m,pct_matched,10,-0.9757575757575757,-1.0,-0.8101265822784811,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.25,rpe10_m,pct_matched,10,-0.24848484848484845,-0.9125,0.6209581945985903,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.25,dp_p95_m,pct_matched,10,-0.8787878787878788,-1.0,-0.4197530864197531,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.25,ate_m,ed_mean_m,10,-0.07878787878787878,-0.647837539818672,0.5279503105590063,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.25,ate_m,fd_max_m,10,-0.4666666666666666,-0.9215813598166538,0.3636833855799331,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.25,rpe10_m,ed_mean_m,10,0.06666666666666665,-0.6124999999999999,0.6296296296296295,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.25,dp_p95_m,fd_max_m,10,-0.34545454545454546,-0.8875,0.4545742232451068,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.5,ate_m,pct_matched,10,-0.9757575757575757,-1.0,-0.8101265822784811,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.5,rpe10_m,pct_matched,10,-0.24848484848484845,-0.9119496855345913,0.605095541401274,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.5,dp_p95_m,pct_matched,10,-0.8787878787878788,-1.0,-0.4125,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.5,ate_m,ed_mean_m,10,0.8909090909090909,0.559748427672956,1.0,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.5,ate_m,fd_max_m,10,0.6,-0.21251008064516128,0.9622641509433963,20000,exploratory sequence-level correlation
