sequence,bias_radps,bias_degps,ate_m,heading_mae_deg,dp_p95_m,dtheta_p95_deg,rpe1_m,rpe5_m,rpe10_m
parking00,0.001,0.057295779513082325,34.83625343302979,43.203016208278235,61.42706001814895,78.41298718823684,0.02434883125275725,0.09376050922606627,0.21432423386093055
parking00,0.0025,0.1432394487827058,60.97547446812493,92.15852000431744,100.40594318241524,171.5492950209842,0.024890651031798897,0.11627070502314052,0.310740236799294
parking00,0.005,0.2864788975654116,62.35943315371255,93.86617379033261,108.08027727298172,170.90735311398603,0.02586280009779396,0.15619858149951693,0.4769477778479418
parking01,-0.005,-0.2864788975654116,62.460698340095256,100.31694971129599,110.02415385063205,171.82423139580933,0.019874391260908644,0.053370466854794595,0.2024852759449841
parking01,-0.0025,-0.1432394487827058,49.62694060877133,80.81508191312174,93.16658907212559,151.1020831421796,0.02061553907943207,0.05601594261999537,0.10397462407931037
parking01,-0.001,-0.057295779513082325,25.054154130733963,35.27382690555518,49.708410552771745,64.57623111887706,0.021096330382948624,0.06764858400241895,0.10997020446523224
parking01,-0.0005,-0.028647889756541162,14.682067714979956,20.093651110759193,29.296574820499114,35.74448474068864,0.02126220983878628,0.07256153476778812,0.12563132923252274
parking01,0.0,0.0,4.080629377240842,4.934243748489455,7.751139367921837,8.008355124713056,0.02143078917259032,0.07783628629516594,0.14521635692471702
parking01,0.0005,0.028647889756541162,7.876796235416838,10.26879454652135,15.684584075364759,21.59906923595663,0.021602005055064363,0.08340402621119508,0.16734033690924735
parking01,0.001,0.057295779513082325,18.674118619119408,25.448779257478705,36.581474101664526,50.60956183295492,0.021775795181536245,0.08920988795381668,0.1911213916536393
parking01,0.0025,0.1432394487827058,46.12949618311092,70.99020906419021,87.11475331080935,137.33518476179395,0.02231200402169885,0.10766434671794782,0.26788449252316787
parking01,0.005,0.2864788975654116,59.75513272108793,102.33923179781478,91.38138886178643,172.90298866278815,0.023251672794750683,0.14048750975290136,0.40335988575469545
parking02,-0.005,-0.2864788975654116,54.23875460670573,84.50335079542862,97.74120754534306,170.37958902298757,0.017465275579110994,0.0853801952213023,0.30569615027471037
parking02,-0.0025,-0.1432394487827058,53.24447382095493,101.51909322418646,98.9047109055984,174.78405083165194,0.01745252424117599,0.06019790695524876,0.17321641489916018
parking02,-0.001,-0.057295779513082325,33.646300979081694,52.716743671642384,65.04353402513594,98.68308846968269,0.017504549311656962,0.05206358132962927,0.10901923819241734
parking02,-0.0005,-0.028647889756541162,23.107433397852148,34.714440746428,45.28867569143279,64.49076879438348,0.017531773299923257,0.05120180285107432,0.09586538585078437
parking02,0.0,0.0,11.357110465292033,16.712154985159568,22.395703504843805,30.2905833272966,0.017563903415182765,0.05138387436628219,0.09044765219232771
parking02,0.0005,0.028647889756541162,3.966933087429211,4.978997298020716,7.413636349273264,9.586726828994452,0.01760091264960124,0.05259631113431381,0.0940543429073058
parking02,0.001,0.057295779513082325,13.73006485698344,19.30835267052707,26.34395608055368,38.0719492118573,0.017642770148368764,0.0547675585009857,0.10566622879501064
parking02,0.0025,0.1432394487827058,43.18549356816572,73.30005125704413,81.54242277818395,140.64051284179934,0.01779706871473384,0.06586906363733512,0.16740564088528473
parking02,0.005,0.2864788975654116,50.15720275691998,96.70638654050215,89.0980035534148,171.7277766558632,0.01814730638861588,0.09328645562333591,0.29887324266391196
playground00,-0.005,-0.2864788975654116,109.66585693609072,86.71025908690147,184.4778679285195,170.57040339200475,0.011657160544617245,0.0723479148813002,0.29356499250890616
playground00,-0.0025,-0.1432394487827058,98.84249486981935,91.47944269940409,159.72710551864927,172.2433245481014,0.012018237214618935,0.046347668420602506,0.143309029920758
playground00,-0.001,-0.057295779513082325,44.2445406624806,34.90190772375701,78.3025249199804,67.77312631238891,0.012338681229526407,0.04424985139613082,0.08696546101005138
playground00,-0.0005,-0.028647889756541162,20.518281796914586,15.905502108742914,36.43445807827982,31.64525591565872,0.012461550866716707,0.046652079020436055,0.0874172995760643
playground00,0.0,0.0,7.097941933526521,4.0221397448902865,13.309588229340454,7.327299782036977,0.01259206387556303,0.050350615463240385,0.09988438015633239
playground00,0.0005,0.028647889756541162,28.527885654184928,22.087339368931595,49.46168271946149,40.52050068522061,0.012729982111851541,0.055076077302996795,0.12063010058555755
playground00,0.001,0.057295779513082325,49.875179189127344,41.08375506649597,83.82618554961108,76.52983083291763,0.01287506467189393,0.06058255883665927,0.14608594085437485
playground00,0.0025,0.1432394487827058,91.106430474574,96.69053367252609,152.3566555482478,175.17596096503755,0.013350878824414915,0.08006216170806955,0.23439033856109195
playground00,0.005,0.2864788975654116,86.39046982178694,85.15747587008094,155.09380173441795,170.59128542290173,0.014264896708941315,0.1172104554087638,0.3937261479652166
