sequence,seed,path,zero_bias_replay_position_rmse_m,bias_radps,bias_degps,ate_m,heading_mae_deg,dp_p95_m,dtheta_p95_deg,rpe1_m,rpe5_m,rpe10_m
building02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_03_building02\v2_evaluated_trajectory.csv,10.910459777621616,-0.005,-0.2864788975654116,431.7647297172685,91.17966642393033,651.7184039761224,172.74649269562354,0.015084516286951382,0.06568162276973774,0.28072362618298813
parking00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,10.55104426252676,0.0,0.0,10.649147735446322,12.55491108495924,17.154528577220034,19.648195986496955,0.02399204814472667,0.08059665323312949,0.157407245253689
parking00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,10.55104426252676,0.0005,0.028647889756541162,23.947617500162572,28.88778320839251,41.31367066895273,50.65407553985824,0.024161877183274054,0.0873937303412934,0.1868796342387201
parking00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,10.55104426252676,-0.0005,-0.028647889756541162,4.245366534106637,3.852468381058024,10.997361578573074,11.398070715861158,0.023826120318300757,0.07418806948977799,0.1302209972510586
parking00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,10.55104426252676,0.001,0.057295779513082325,36.229703190914016,45.22748709046488,63.231418052978604,81.68829327113625,0.024335525733659685,0.09449547063266395,0.21771099872396413
parking00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,10.55104426252676,-0.001,-0.057295779513082325,17.487621604243678,20.1363645613755,37.33222166528661,42.49311517428218,0.02366417579210854,0.06827750262545608,0.1070778262018682
parking00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,10.55104426252676,0.0025,0.1432394487827058,61.629086954243434,94.14685200496005,100.92599423535441,174.81530466007,0.02487857962991959,0.11706334759632141,0.31429205924154896
parking00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,10.55104426252676,-0.0025,-0.1432394487827058,51.62898465161346,69.15837316849664,100.45832084675997,135.67369635065813,0.023203066048215353,0.055091750152601704,0.09464814371016901
parking00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,10.55104426252676,0.005,0.2864788975654116,62.10344035781727,93.12088156555835,107.34438850991668,170.76823963894816,0.02585262391470522,0.15702916652500562,0.48053992350904723
parking00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_04_parking00\v2_evaluated_trajectory.csv,10.55104426252676,-0.005,-0.2864788975654116,66.01493271567612,100.23708183647948,102.54508464076527,172.1271285851425,0.022521890688607805,0.05763889904392659,0.22659718357378397
parking01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_05_parking01\v2_evaluated_trajectory.csv,0.06614540107124241,0.0,0.0,3.1593232098957706,4.381783469846281,6.201896486009683,7.094486562214469,0.020950069497563114,0.0742952009752404,0.13572270565516023
parking01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_05_parking01\v2_evaluated_trajectory.csv,0.06614540107124241,0.0005,0.028647889756541162,8.212253529252555,10.80728602470614,16.21639839026977,21.72683837978017,0.02112451788020693,0.08007155988039899,0.15891685176012854
parking01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_05_parking01\v2_evaluated_trajectory.csv,0.06614540107124241,-0.0005,-0.028647889756541162,14.033191391205634,19.5550023154297,27.869126924201662,35.72393122209201,0.020778256624094604,0.06879322429111268,0.1148743999311105
parking01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_05_parking01\v2_evaluated_trajectory.csv,0.06614540107124241,0.001,0.057295779513082325,19.101934240361167,25.98724396238352,37.24479226995751,50.74310857998558,0.02130153699644044,0.08606704302604744,0.18356920579664815
parking01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_05_parking01\v2_evaluated_trajectory.csv,0.06614540107124241,-0.001,-0.057295779513082325,24.446760750435285,34.73530505369399,48.25586546568228,64.54974166556472,0.020609145200042006,0.06363687598390214,0.09788348906591741
