sequence,replicate,condition,aoi_setting,service,original_aoi_limit_s,aoi_limit_s,rate_hz,delay_ms,jitter_sd_ms,loss_probability,burst_period_s,burst_duration_s,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,eligible_samples,observable_samples,mean_aoi_s,max_aoi_s,qualified
building00,replicate_01_base42,burst_5hz_1s_every_8s,aoi_0.2s,local_1s,0.6,0.2,5.0,50.0,20.0,0.01,8.0,1.0,1.0,0.6400547055303872,0.6060347038208393,0.45901359090520555,11699,11699,0.22686554406364015,1.3999999999996362,0
building00,replicate_01_base42,burst_5hz_1s_every_8s,aoi_0.2s,local_5s,1.0,0.2,5.0,50.0,20.0,0.01,8.0,1.0,1.0,0.558881550733339,0.6063127197872888,0.4017497212453898,11659,11659,0.22661463247281263,1.3999999999996362,0
building00,replicate_01_base42,burst_5hz_1s_every_8s,aoi_0.2s,local_10s,1.5,0.2,5.0,50.0,20.0,0.01,8.0,1.0,1.0,0.6312343871134465,0.6059092083728141,0.43449048152295633,11609,11609,0.22694461193905782,1.3999999999996362,0
building00,replicate_01_base42,burst_5hz_1s_every_8s,aoi_0.2s,global,1.0,0.2,5.0,50.0,20.0,0.01,8.0,1.0,1.0,0.06243060893329917,0.6061149543086515,0.01870356136305406,11709,11709,0.2267998975147772,1.3999999999996362,0
building00,replicate_01_base42,burst_2hz_2s_every_10s,original,local_1s,0.6,0.6,2.0,200.0,50.0,0.05,10.0,2.0,1.0,0.3643046414223438,0.5341482177963929,0.27472433541328317,11699,11699,0.7313103684071924,3.600000000000364,0
building00,replicate_01_base42,burst_2hz_2s_every_10s,original,local_5s,1.0,1.0,2.0,200.0,50.0,0.05,10.0,2.0,1.0,0.2581696543442834,0.8198816365039884,0.2575692597992967,11659,11659,0.7296594905219794,3.600000000000364,0
building00,replicate_01_base42,burst_2hz_2s_every_10s,original,local_10s,1.5,1.5,2.0,200.0,50.0,0.05,10.0,2.0,1.0,0.4351796020329055,0.8789732104401757,0.4131277457145318,11609,11609,0.7309070548708568,3.600000000000364,0
building00,replicate_01_base42,burst_2hz_2s_every_10s,original,global,1.0,1.0,2.0,200.0,50.0,0.05,10.0,2.0,1.0,0.15757109915449655,0.8188572892646682,0.14715176360064908,11709,11709,0.7314971389525784,3.600000000000364,0
building00,replicate_01_base42,burst_2hz_2s_every_10s,aoi_0.5s,local_1s,0.6,0.5,2.0,200.0,50.0,0.05,10.0,2.0,1.0,0.3643046414223438,0.5341482177963929,0.27472433541328317,11699,11699,0.7313103684071924,3.600000000000364,0
building00,replicate_01_base42,burst_2hz_2s_every_10s,aoi_0.5s,local_5s,1.0,0.5,2.0,200.0,50.0,0.05,10.0,2.0,1.0,0.2581696543442834,0.5344369156874518,0.19581439231494982,11659,11659,0.7296594905219794,3.600000000000364,0
building00,replicate_01_base42,burst_2hz_2s_every_10s,aoi_0.5s,local_10s,1.5,0.5,2.0,200.0,50.0,0.05,10.0,2.0,1.0,0.4351796020329055,0.5336376948918942,0.29279007666465673,11609,11609,0.7309070548708568,3.600000000000364,0
building00,replicate_01_base42,burst_2hz_2s_every_10s,aoi_0.5s,global,1.0,0.5,2.0,200.0,50.0,0.05,10.0,2.0,1.0,0.15757109915449655,0.5337774361602187,0.08480655905713554,11709,11709,0.7314971389525784,3.600000000000364,0
building00,replicate_01_base42,burst_2hz_2s_every_10s,aoi_0.3s,local_1s,0.6,0.3,2.0,200.0,50.0,0.05,10.0,2.0,1.0,0.3643046414223438,0.22899393110522268,0.11547995555175657,11699,11699,0.7313103684071924,3.600000000000364,0
building00,replicate_01_base42,burst_2hz_2s_every_10s,aoi_0.3s,local_5s,1.0,0.3,2.0,200.0,50.0,0.05,10.0,2.0,1.0,0.2581696543442834,0.22900763358778625,0.08551333733596363,11659,11659,0.7296594905219794,3.600000000000364,0
building00,replicate_01_base42,burst_2hz_2s_every_10s,aoi_0.3s,local_10s,1.5,0.3,2.0,200.0,50.0,0.05,10.0,2.0,1.0,0.4351796020329055,0.2286157291756396,0.12283573089844087,11609,11609,0.7309070548708568,3.600000000000364,0
building00,replicate_01_base42,burst_2hz_2s_every_10s,aoi_0.3s,global,1.0,0.3,2.0,200.0,50.0,0.05,10.0,2.0,1.0,0.15757109915449655,0.22879836023571612,0.027585617900760098,11709,11709,0.7314971389525784,3.600000000000364,0
building00,replicate_01_base42,burst_2hz_2s_every_10s,aoi_0.2s,local_1s,0.6,0.2,2.0,200.0,50.0,0.05,10.0,2.0,1.0,0.3643046414223438,0.0795794512351483,0.026925378237456193,11699,11699,0.7313103684071924,3.600000000000364,0
