sequence,condition,aoi_setting,service,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,mean_aoi_s,max_aoi_s,qualified
building00,stress_1hz,aoi_0.2s,global,1.0,0.17644546929712188,0.016397642838841917,0.0010248526774276198,0.8977083155403883,4.2666666666658175,0
building00,stress_1hz,aoi_0.2s,local_10s,1.0,0.3362908088551986,0.016424038820455393,0.001751514629454159,0.8975162948283609,4.2666666666658175,0
building00,stress_1hz,aoi_0.2s,local_1s,1.0,0.3723395161979656,0.016411659116163775,0.0017665327520870729,0.8976921104364256,4.2666666666658175,0
building00,stress_1hz,aoi_0.2s,local_5s,1.0,0.27012036481116164,0.016410784229636616,0.0013151499556851645,0.897769963118257,4.2666666666658175,0
building00,stress_1hz,aoi_0.3s,global,1.0,0.17644546929712188,0.06260141771287044,0.008028012639849688,0.8977083155403883,4.2666666666658175,0
building00,stress_1hz,aoi_0.3s,local_10s,1.0,0.3362908088551986,0.0626525396962127,0.015620064892181354,0.8975162948283609,4.2666666666658175,0
building00,stress_1hz,aoi_0.3s,local_1s,1.0,0.3723395161979656,0.0626549277716044,0.016981508391030572,0.8976921104364256,4.2666666666658175,0
building00,stress_1hz,aoi_0.3s,local_5s,1.0,0.27012036481116164,0.062612573977185,0.014438059296108871,0.897769963118257,4.2666666666658175,0
building00,stress_1hz,aoi_0.5s,global,1.0,0.17644546929712188,0.22748882625900305,0.039855381899962995,0.8977083155403883,4.2666666666658175,0
building00,stress_1hz,aoi_0.5s,local_10s,1.0,0.3362908088551986,0.22758204841071583,0.09320354897062623,0.8975162948283609,4.2666666666658175,0
building00,stress_1hz,aoi_0.5s,local_1s,1.0,0.3723395161979656,0.22756930791805566,0.10274382425848362,0.8976921104364256,4.2666666666658175,0
building00,stress_1hz,aoi_0.5s,local_5s,1.0,0.27012036481116164,0.2274923521171055,0.08394087543242702,0.897769963118257,4.2666666666658175,0
building00,stress_1hz,original,global,1.0,0.17644546929712188,0.6819540524382953,0.13308850741594785,0.8977083155403883,4.2666666666658175,0
