sequence,method,target_acceptance,threshold,inner_acceptance,accepted,conditions,false_qualified,achieved_acceptance
street00,service_empirical,0.3,0.875,0.2833333333333333,22,80,0,0.275
street00,service_empirical,0.4,0.5,0.39444444444444443,31,80,0,0.3875
street00,service_empirical,0.5,0.375,0.49166666666666664,32,80,0,0.4
street01,aoi_only,0.1,1.2,0.1125,9,80,0,0.1125
street01,aoi_only,0.2,1.0,0.19722222222222222,15,80,0,0.1875
street01,aoi_only,0.3,0.9,0.2777777777777778,22,80,1,0.275
street01,aoi_only,0.4,0.7,0.4125,33,80,3,0.4125
street01,aoi_only,0.5,0.6,0.4875,39,80,5,0.4875
street01,kinematic_staleness,0.1,-0.48953646216966973,0.10138888888888889,7,80,0,0.0875
street01,kinematic_staleness,0.2,-1.3054818467189229,0.2,10,80,0,0.125
street01,kinematic_staleness,0.3,-1.8310739786956014,0.3013888888888889,14,80,0,0.175
street01,kinematic_staleness,0.4,-2.9170134826083167,0.4,26,80,1,0.325
street01,kinematic_staleness,0.5,-4.422505551378881,0.5,28,80,3,0.35
street01,motion_logistic,0.1,0.9968800486034755,0.1,3,80,0,0.0375
street01,motion_logistic,0.2,0.9689809296627322,0.2,13,80,0,0.1625
street01,motion_logistic,0.3,0.8816420925243349,0.3,27,80,2,0.3375
street01,motion_logistic,0.4,0.7202229641953701,0.4,40,80,6,0.5
street01,motion_logistic,0.5,0.5448934099509898,0.5,53,80,15,0.6625
street01,service_empirical,0.1,inf,0.0,0,80,0,0.0
street01,service_empirical,0.2,1.0,0.23055555555555557,18,80,0,0.225
street01,service_empirical,0.3,0.875,0.2833333333333333,22,80,0,0.275
street01,service_empirical,0.4,0.5,0.4083333333333333,31,80,1,0.3875
street01,service_empirical,0.5,0.375,0.5166666666666667,34,80,3,0.425
street02,aoi_only,0.1,1.2,0.1125,9,80,0,0.1125
street02,aoi_only,0.2,1.0,0.19722222222222222,15,80,1,0.1875
street02,aoi_only,0.3,0.9,0.2777777777777778,22,80,2,0.275
street02,aoi_only,0.4,0.7,0.4125,33,80,5,0.4125
street02,aoi_only,0.5,0.6,0.4875,39,80,8,0.4875
street02,kinematic_staleness,0.1,-0.48953646216966973,0.10138888888888889,7,80,0,0.0875
street02,kinematic_staleness,0.2,-1.343377145356555,0.2013888888888889,16,80,4,0.2
street02,kinematic_staleness,0.3,-2.1213386456943124,0.3,31,80,10,0.3875
street02,kinematic_staleness,0.4,-2.9962299752266355,0.39861111111111114,32,80,11,0.4
street02,kinematic_staleness,0.5,-4.577684946739003,0.5,42,80,11,0.525
street02,motion_logistic,0.1,0.9964491043352396,0.1,3,80,0,0.0375
street02,motion_logistic,0.2,0.9650019639007431,0.2,15,80,0,0.1875
street02,motion_logistic,0.3,0.857841631754766,0.3,30,80,2,0.375
street02,motion_logistic,0.4,0.6998160381067858,0.4,42,80,8,0.525
street02,motion_logistic,0.5,0.5115805019281019,0.5,57,80,20,0.7125
street02,service_empirical,0.1,inf,0.0,0,80,0,0.0
street02,service_empirical,0.2,1.0,0.23055555555555557,18,80,0,0.225
street02,service_empirical,0.3,0.875,0.2833333333333333,22,80,0,0.275
street02,service_empirical,0.4,0.5,0.41388888888888886,32,80,2,0.4
street02,service_empirical,0.5,0.375,0.55,34,80,4,0.425
