aoi_limit_s,at_risk_fraction,heading_error_p95_deg,heading_tolerance_deg,horizon_s,log_file,minimum_normalized_margin,observable_fraction,physical_condition,policy,position_error_p95_m,position_tolerance_m,qualified_fraction,run_label,satisfied_observable_fraction,service_id,service_label,service_samples,trial,unobservable_fraction,wireless_condition,withdrawn_fraction
1.5,0.0,117.41877061982007,10.0,10.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial1_20260915_200644.jsonl,-11.083677286982006,0.021897810218978103,smooth_floor_mixed_motion,static-high,1.752291088179688,0.5,0.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial1,0.0,local_10s_preview,Planning support,137,1,0.9781021897810219,wifi_baseline,0.021897810218978103
1.0,0.0,143.94592321302213,5.0,0.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial1_20260915_200644.jsonl,-27.78990149260442,0.5766423357664233,smooth_floor_mixed_motion,static-high,2.2447235532884044,1.0,0.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial1,0.0,global_state_tracking,Global asset tracking,137,1,0.4233576642335766,wifi_baseline,0.5766423357664233
0.6,0.0,25.85735661411646,2.0,1.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial2_20260915_200900.jsonl,-15.541594372358432,0.06521739130434782,smooth_floor_mixed_motion,static-high,0.6880596960415369,0.1,0.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial2,0.0,local_1s_tight,Immediate motion,138,2,0.9347826086956522,wifi_baseline,0.06521739130434782
1.0,0.0,31.84223607523246,5.0,5.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial2_20260915_200900.jsonl,-8.288714105684134,0.028985507246376812,smooth_floor_mixed_motion,static-high,1.8516426739818432,0.2,0.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial2,0.0,local_5s_moderate,Short prediction,138,2,0.9710144927536232,wifi_baseline,0.028985507246376812
1.5,0.0,90.99621419167282,10.0,10.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial2_20260915_200900.jsonl,-8.099621419167281,0.007246376811594203,smooth_floor_mixed_motion,static-high,2.682146542996004,0.5,0.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial2,0.0,local_10s_preview,Planning support,138,2,0.9927536231884058,wifi_baseline,0.007246376811594203
1.0,0.0,94.98303975496613,5.0,0.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial2_20260915_200900.jsonl,-25.8954245663568,0.7681159420289855,smooth_floor_mixed_motion,static-high,4.012514656000497,1.0,0.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial2,0.0,global_state_tracking,Global asset tracking,138,2,0.2318840579710145,wifi_baseline,0.7681159420289855
0.6,0.0,32.77444022850088,2.0,1.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial3_20260915_201115.jsonl,-17.609456230455308,0.072992700729927,smooth_floor_mixed_motion,static-high,0.6315342474324692,0.1,0.0072992700729927005,smooth_floor_mixed_motion_wifi_baseline_static_high_trial3,0.1,local_1s_tight,Immediate motion,137,3,0.927007299270073,wifi_baseline,0.06569343065693431
1.0,0.0,,5.0,5.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial3_20260915_201115.jsonl,,0.0,smooth_floor_mixed_motion,static-high,,0.2,0.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial3,,local_5s_moderate,Short prediction,137,3,1.0,wifi_baseline,0.0
1.5,0.0,,10.0,10.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial3_20260915_201115.jsonl,,0.0,smooth_floor_mixed_motion,static-high,,0.5,0.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial3,,local_10s_preview,Planning support,137,3,1.0,wifi_baseline,0.0
1.0,0.0072992700729927005,96.10545227710338,5.0,0.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial3_20260915_201115.jsonl,-19.973786367920678,0.9562043795620438,smooth_floor_mixed_motion,static-high,6.879132418023293,1.0,0.0072992700729927005,smooth_floor_mixed_motion_wifi_baseline_static_high_trial3,0.015267175572519083,global_state_tracking,Global asset tracking,137,3,0.043795620437956206,wifi_baseline,0.9416058394160584
