dataset,domain,subsystem,segment,component,unit,horizon_s,n_points,normalized_p95_error,scale,unit_id,semantics
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-09,degC,300,302,0.00824536061709292,108.34815115000004,8:Heat Pipe TC-09,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-09,degC,600,600,0.023752632974762482,108.34815115000004,8:Heat Pipe TC-09,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-10,degC,60,62,0.00011799680946138858,101.64759320000002,8:Heat Pipe TC-10,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-10,degC,300,302,0.0020162336075757307,101.64759320000002,8:Heat Pipe TC-10,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_8,Heat Pipe TC-10,degC,600,600,0.005001811587950113,101.64759320000002,8:Heat Pipe TC-10,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-01,degC,60,62,0.0033655089966980914,4.087781149999998,12:Heat Pipe TC-01,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-01,degC,300,302,0.007685836613584125,4.087781149999998,12:Heat Pipe TC-01,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-01,degC,600,600,0.015241079075001633,4.087781149999998,12:Heat Pipe TC-01,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-02,degC,60,62,0.0031533188438488476,4.6027229999999975,12:Heat Pipe TC-02,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-02,degC,300,302,0.004097492386023379,4.6027229999999975,12:Heat Pipe TC-02,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-02,degC,600,600,0.007946736170788034,4.6027229999999975,12:Heat Pipe TC-02,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-03,degC,60,62,0.000789708921681432,12.860793000000001,12:Heat Pipe TC-03,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-03,degC,300,302,0.0040049729434332975,12.860793000000001,12:Heat Pipe TC-03,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-03,degC,600,600,0.011322985387098614,12.860793000000001,12:Heat Pipe TC-03,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-04,degC,60,62,0.0001977575269970095,34.57984929999999,12:Heat Pipe TC-04,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-04,degC,300,302,0.002072582836834477,34.57984929999999,12:Heat Pipe TC-04,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-04,degC,600,600,0.0076746892805918425,34.57984929999999,12:Heat Pipe TC-04,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-05,degC,60,62,0.00016196003213406052,125.92503189999996,12:Heat Pipe TC-05,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-05,degC,300,302,0.007596038296099826,125.92503189999996,12:Heat Pipe TC-05,forecast trajectory remains within normalized discrepancy over service horizon
