trial,capacity_hz,policy,source_duration_s,source_observations,source_observation_rate_hz,transport_deliveries,transport_deliveries_per_s,unique_delivered_sources,unique_source_delivery_rate_hz,repeated_source_fraction,response_bytes_per_s,p95_delivery_aoi_s,mean_delivery_aoi_s,rate_switches,economy_fraction,normal_fraction,high_fraction,service_id,qualified_deliveries,at_risk_deliveries,withdrawn_deliveries,unobservable_deliveries,observable_fraction_request_weighted,satisfaction_given_observable_request_weighted,observable_fraction_time_weighted,satisfaction_given_observable_time_weighted
1,20.0,static-low,90.86099999999999,140,1.5298092691033558,182,2.003059618538207,139,1.5298092691033558,0.23626373626373626,1233.9067366636953,0.7098999999999679,0.384499999999961,0,1.0,0.0,0.0,local_5s_moderate,25,6,138,13,0.9285714285714286,0.1834319526627219,0.928422768166852,0.18384315213910404
1,20.0,static-low,90.86099999999999,140,1.5298092691033558,182,2.003059618538207,139,1.5298092691033558,0.23626373626373626,1233.9067366636953,0.7098999999999679,0.384499999999961,0,1.0,0.0,0.0,local_10s_preview,89,16,53,24,0.8681318681318682,0.6645569620253164,0.8678574181541884,0.6661506642473767
1,20.0,static-low,90.86099999999999,140,1.5298092691033558,182,2.003059618538207,139,1.5298092691033558,0.23626373626373626,1233.9067366636953,0.7098999999999679,0.384499999999961,0,1.0,0.0,0.0,global_state_tracking,27,2,153,0,1.0,0.15934065934065933,1.0,0.1596722863970224
1,20.0,static-high,90.86099999999999,140,1.5298092691033558,909,10.004292270611154,139,1.5298092691033558,0.847084708470847,6162.776108561429,0.7080000000003253,0.38127722772285205,0,0.0,0.0,1.0,local_1s_tight,18,9,843,39,0.9570957095709571,0.03103448275862069,0.9570536609001122,0.03106626318877865
1,20.0,static-high,90.86099999999999,140,1.5298092691033558,909,10.004292270611154,139,1.5298092691033558,0.847084708470847,6162.776108561429,0.7080000000003253,0.38127722772285205,0,0.0,0.0,1.0,local_5s_moderate,122,20,702,65,0.9284928492849285,0.16824644549763032,0.9284227681668523,0.1684240490564691
1,20.0,static-high,90.86099999999999,140,1.5298092691033558,909,10.004292270611154,139,1.5298092691033558,0.847084708470847,6162.776108561429,0.7080000000003253,0.38127722772285205,0,0.0,0.0,1.0,local_10s_preview,445,78,269,117,0.8712871287128713,0.6603535353535354,0.8711609827003336,0.6610964341242029
1,20.0,static-high,90.86099999999999,140,1.5298092691033558,909,10.004292270611154,139,1.5298092691033558,0.847084708470847,6162.776108561429,0.7080000000003253,0.38127722772285205,0,0.0,0.0,1.0,global_state_tracking,135,7,767,0,1.0,0.1562156215621562,1.0,0.15636872185087675
1,20.0,aoi-only,90.86099999999999,140,1.5298092691033558,897,9.872222405652591,139,1.5298092691033558,0.8450390189520625,6083.005910126458,0.7082000000002494,0.38202341137131895,1,0.0,0.014492753623188406,0.9855072463768116,local_1s_tight,13,8,843,33,0.9632107023411371,0.024305555555555556,0.9559524727180638,0.029950121528377054
1,20.0,aoi-only,90.86099999999999,140,1.5298092691033558,897,9.872222405652591,139,1.5298092691033558,0.8450390189520625,6083.005910126458,0.7082000000002494,0.38202341137131895,1,0.0,0.014492753623188406,0.9855072463768116,local_5s_moderate,122,20,702,53,0.9409141583054627,0.16824644549763032,0.9284227681668523,0.16842404905646913
1,20.0,aoi-only,90.86099999999999,140,1.5298092691033558,897,9.872222405652591,139,1.5298092691033558,0.8450390189520625,6083.005910126458,0.7082000000002494,0.38202341137131895,1,0.0,0.014492753623188406,0.9855072463768116,local_10s_preview,445,78,269,105,0.882943143812709,0.6603535353535354,0.8711609827003336,0.6610964341242029
1,20.0,aoi-only,90.86099999999999,140,1.5298092691033558,897,9.872222405652591,139,1.5298092691033558,0.8450390189520625,6083.005910126458,0.7082000000002494,0.38202341137131895,1,0.0,0.014492753623188406,0.9855072463768116,global_state_tracking,123,7,767,0,1.0,0.14492753623188406,1.0,0.15636872185087675
1,20.0,contract-aware,90.86099999999999,140,1.5298092691033558,897,9.872222405652591,139,1.5298092691033558,0.8450390189520625,6083.005910126458,0.7082000000002494,0.38202341137131895,1,0.0,0.014492753623188406,0.9855072463768116,local_1s_tight,13,8,843,33,0.9632107023411371,0.024305555555555556,0.9559524727180638,0.029950121528377054
1,20.0,contract-aware,90.86099999999999,140,1.5298092691033558,897,9.872222405652591,139,1.5298092691033558,0.8450390189520625,6083.005910126458,0.7082000000002494,0.38202341137131895,1,0.0,0.014492753623188406,0.9855072463768116,local_5s_moderate,122,20,702,53,0.9409141583054627,0.16824644549763032,0.9284227681668523,0.16842404905646913
