sequence,method,trace_id,family,horizon_s,position_tolerance_m,heading_tolerance_deg,n_windows,position_valid_fraction,joint_valid_fraction,heading_valid_fraction
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,5.0,0.1,2.0,27,0.1111111111111111,0.07407407407407407,0.3333333333333333
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,5.0,0.1,5.0,27,0.1111111111111111,0.07407407407407407,0.5555555555555556
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,5.0,0.1,10.0,27,0.1111111111111111,0.07407407407407407,0.7407407407407407
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,5.0,0.1,20.0,27,0.1111111111111111,0.1111111111111111,0.8148148148148148
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,5.0,0.2,1.0,27,0.37037037037037035,0.07407407407407407,0.14814814814814814
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,5.0,0.2,2.0,27,0.37037037037037035,0.2222222222222222,0.3333333333333333
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,5.0,0.2,5.0,27,0.37037037037037035,0.2962962962962963,0.5555555555555556
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,5.0,0.2,10.0,27,0.37037037037037035,0.2962962962962963,0.7407407407407407
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,5.0,0.2,20.0,27,0.37037037037037035,0.3333333333333333,0.8148148148148148
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,5.0,0.5,1.0,27,0.7777777777777778,0.14814814814814814,0.14814814814814814
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,5.0,0.5,2.0,27,0.7777777777777778,0.2962962962962963,0.3333333333333333
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,5.0,0.5,5.0,27,0.7777777777777778,0.48148148148148145,0.5555555555555556
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,5.0,0.5,10.0,27,0.7777777777777778,0.6296296296296297,0.7407407407407407
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,5.0,0.5,20.0,27,0.7777777777777778,0.7037037037037037,0.8148148148148148
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,5.0,1.0,1.0,27,0.8518518518518519,0.14814814814814814,0.14814814814814814
ts_2022_06_09_13h16m39s_one_row,frozen_v2_checkpoint,replicate_01_base42_fold_01_building00_trace,local_relative_motion,5.0,1.0,2.0,27,0.8518518518518519,0.2962962962962963,0.3333333333333333
