family,horizon_s,position_tolerance_m,heading_tolerance_deg,parking00,parking02,parking02_minus_parking00,winner
local_relative_motion,1.0,1.0,1.0,0.9947368421052633,0.998407643312102,0.003670801206838714,parking02
local_relative_motion,1.0,1.0,2.0,0.9973684210526316,1.0,0.0026315789473684292,parking02
local_relative_motion,1.0,1.0,5.0,0.9982456140350876,1.0,0.0017543859649123972,parking02
local_relative_motion,1.0,1.0,10.0,0.9982456140350876,1.0,0.0017543859649123972,parking02
local_relative_motion,1.0,1.0,20.0,0.9982456140350876,1.0,0.0017543859649123972,parking02
local_relative_motion,5.0,0.05,1.0,0.2763157894736842,0.7928286852589641,0.5165128957852799,parking02
local_relative_motion,5.0,0.05,2.0,0.2763157894736842,0.8087649402390438,0.5324491507653596,parking02
local_relative_motion,5.0,0.05,5.0,0.2763157894736842,0.8087649402390438,0.5324491507653596,parking02
local_relative_motion,5.0,0.05,10.0,0.2763157894736842,0.8087649402390438,0.5324491507653596,parking02
local_relative_motion,5.0,0.05,20.0,0.2763157894736842,0.8087649402390438,0.5324491507653596,parking02
local_relative_motion,5.0,0.1,1.0,0.7807017543859649,0.9442231075697212,0.16352135318375627,parking02
local_relative_motion,5.0,0.1,2.0,0.7850877192982456,0.9641434262948207,0.17905570699657514,parking02
local_relative_motion,5.0,0.1,5.0,0.7850877192982456,0.9641434262948207,0.17905570699657514,parking02
local_relative_motion,5.0,0.1,10.0,0.7850877192982456,0.9641434262948207,0.17905570699657514,parking02
local_relative_motion,5.0,0.1,20.0,0.7850877192982456,0.9641434262948207,0.17905570699657514,parking02
local_relative_motion,5.0,0.2,1.0,0.9385964912280702,0.9641434262948207,0.025546935066750542,parking02
local_relative_motion,5.0,0.2,2.0,0.9517543859649122,0.9840637450199204,0.0323093590550082,parking02
local_relative_motion,5.0,0.2,5.0,0.9517543859649122,0.9840637450199204,0.0323093590550082,parking02
local_relative_motion,5.0,0.2,10.0,0.9517543859649122,0.9840637450199204,0.0323093590550082,parking02
local_relative_motion,5.0,0.2,20.0,0.9517543859649122,0.9840637450199204,0.0323093590550082,parking02
