family,horizon_s,position_tolerance_m,heading_tolerance_deg,baseline_metric,kendall_tau_service_pass_vs_negative_error
global_synchronization,0.0,10.0,5.0,rpe1_m,-0.32539568672798425
global_synchronization,0.0,10.0,5.0,rpe5_m,-0.39770583933420295
global_synchronization,0.0,10.0,5.0,rpe10_m,-0.39770583933420295
global_synchronization,0.0,10.0,5.0,dp_p95_m,0.6146362971528592
global_synchronization,0.0,10.0,5.0,heading_mae_deg,0.6146362971528592
global_synchronization,0.0,10.0,5.0,dtheta_p95_deg,0.6146362971528592
global_synchronization,0.0,10.0,10.0,ate_m,0.4472135954999579
global_synchronization,0.0,10.0,10.0,rpe1_m,-0.24845199749997662
global_synchronization,0.0,10.0,10.0,rpe5_m,-0.3478327964999673
global_synchronization,0.0,10.0,10.0,rpe10_m,-0.3478327964999673
global_synchronization,0.0,10.0,10.0,dp_p95_m,0.4472135954999579
global_synchronization,0.0,10.0,10.0,heading_mae_deg,0.4472135954999579
global_synchronization,0.0,10.0,10.0,dtheta_p95_deg,0.4472135954999579
global_synchronization,0.0,10.0,20.0,ate_m,0.4472135954999579
global_synchronization,0.0,10.0,20.0,rpe1_m,-0.24845199749997662
global_synchronization,0.0,10.0,20.0,rpe5_m,-0.3478327964999673
global_synchronization,0.0,10.0,20.0,rpe10_m,-0.3478327964999673
global_synchronization,0.0,10.0,20.0,dp_p95_m,0.4472135954999579
global_synchronization,0.0,10.0,20.0,heading_mae_deg,0.4472135954999579
global_synchronization,0.0,10.0,20.0,dtheta_p95_deg,0.4472135954999579
global_synchronization,0.0,10.0,30.0,ate_m,0.4472135954999579
global_synchronization,0.0,10.0,30.0,rpe1_m,-0.24845199749997662
global_synchronization,0.0,10.0,30.0,rpe5_m,-0.3478327964999673
global_synchronization,0.0,10.0,30.0,rpe10_m,-0.3478327964999673
global_synchronization,0.0,10.0,30.0,dp_p95_m,0.4472135954999579
global_synchronization,0.0,10.0,30.0,heading_mae_deg,0.4472135954999579
global_synchronization,0.0,10.0,30.0,dtheta_p95_deg,0.4472135954999579
global_synchronization,0.0,10.0,45.0,ate_m,0.4472135954999579
global_synchronization,0.0,10.0,45.0,rpe1_m,-0.24845199749997662
global_synchronization,0.0,10.0,45.0,rpe5_m,-0.3478327964999673
global_synchronization,0.0,10.0,45.0,rpe10_m,-0.3478327964999673
global_synchronization,0.0,10.0,45.0,dp_p95_m,0.4472135954999579
global_synchronization,0.0,10.0,45.0,heading_mae_deg,0.4472135954999579
global_synchronization,0.0,10.0,45.0,dtheta_p95_deg,0.4472135954999579
global_synchronization,0.0,20.0,2.0,ate_m,0.8090398349558905
global_synchronization,0.0,20.0,2.0,rpe1_m,0.17978662999019787
global_synchronization,0.0,20.0,2.0,rpe5_m,0.13483997249264842
global_synchronization,0.0,20.0,2.0,rpe10_m,0.13483997249264842
global_synchronization,0.0,20.0,2.0,dp_p95_m,0.8539864924534399
global_synchronization,0.0,20.0,2.0,heading_mae_deg,0.9438798074485389
global_synchronization,0.0,20.0,2.0,dtheta_p95_deg,0.9888264649460883
global_synchronization,0.0,20.0,5.0,ate_m,0.6146362971528592
global_synchronization,0.0,20.0,5.0,rpe1_m,-0.32539568672798425
global_synchronization,0.0,20.0,5.0,rpe5_m,-0.39770583933420295
global_synchronization,0.0,20.0,5.0,rpe10_m,-0.39770583933420295
global_synchronization,0.0,20.0,5.0,dp_p95_m,0.6146362971528592
global_synchronization,0.0,20.0,5.0,heading_mae_deg,0.6146362971528592
global_synchronization,0.0,20.0,5.0,dtheta_p95_deg,0.6146362971528592
global_synchronization,0.0,20.0,10.0,ate_m,0.4472135954999579
global_synchronization,0.0,20.0,10.0,rpe1_m,-0.24845199749997662
global_synchronization,0.0,20.0,10.0,rpe5_m,-0.3478327964999673
global_synchronization,0.0,20.0,10.0,rpe10_m,-0.3478327964999673
global_synchronization,0.0,20.0,10.0,dp_p95_m,0.4472135954999579
global_synchronization,0.0,20.0,10.0,heading_mae_deg,0.4472135954999579
global_synchronization,0.0,20.0,10.0,dtheta_p95_deg,0.4472135954999579
global_synchronization,0.0,20.0,20.0,ate_m,0.4472135954999579
global_synchronization,0.0,20.0,20.0,rpe1_m,-0.24845199749997662
global_synchronization,0.0,20.0,20.0,rpe5_m,-0.3478327964999673
global_synchronization,0.0,20.0,20.0,rpe10_m,-0.3478327964999673
global_synchronization,0.0,20.0,20.0,dp_p95_m,0.4472135954999579
global_synchronization,0.0,20.0,20.0,heading_mae_deg,0.4472135954999579
global_synchronization,0.0,20.0,20.0,dtheta_p95_deg,0.4472135954999579
global_synchronization,0.0,20.0,30.0,ate_m,0.4472135954999579
global_synchronization,0.0,20.0,30.0,rpe1_m,-0.24845199749997662
global_synchronization,0.0,20.0,30.0,rpe5_m,-0.3478327964999673
global_synchronization,0.0,20.0,30.0,rpe10_m,-0.3478327964999673
global_synchronization,0.0,20.0,30.0,dp_p95_m,0.4472135954999579
global_synchronization,0.0,20.0,30.0,heading_mae_deg,0.4472135954999579
global_synchronization,0.0,20.0,30.0,dtheta_p95_deg,0.4472135954999579
global_synchronization,0.0,20.0,45.0,ate_m,0.4472135954999579
global_synchronization,0.0,20.0,45.0,rpe1_m,-0.24845199749997662
global_synchronization,0.0,20.0,45.0,rpe5_m,-0.3478327964999673
global_synchronization,0.0,20.0,45.0,rpe10_m,-0.3478327964999673
global_synchronization,0.0,20.0,45.0,dp_p95_m,0.4472135954999579
global_synchronization,0.0,20.0,45.0,heading_mae_deg,0.4472135954999579
global_synchronization,0.0,20.0,45.0,dtheta_p95_deg,0.4472135954999579
local_relative_motion,1.0,0.05,1.0,ate_m,0.19999999999999998
local_relative_motion,1.0,0.05,1.0,rpe1_m,0.7333333333333333
local_relative_motion,1.0,0.05,1.0,rpe5_m,0.6888888888888888
local_relative_motion,1.0,0.05,1.0,rpe10_m,0.7777777777777777
